 	non	ho	dove	d'	andare	</S>
a20	0.00090614444	0.07219183	0.6778875	0.1716636	0.065919675	0.011431222
a31	0.08024026	0.022145322	0.03561978	0.8280066	0.021863533	0.01212458
a37	0.004411885	0.023277564	0.085120626	0.8135826	0.056558132	0.017049208
a31	0.00079471356	0.0028412722	0.022543814	0.94066554	0.025318792	0.007835852
a29	0.0048833494	0.02311374	0.26613384	0.5992236	0.092114285	0.014531196
a41	0.00046609787	0.0036599748	0.07611499	0.8637862	0.035897404	0.0200753
a31	0.0020540452	0.02758832	0.19030876	0.742009	0.02274381	0.015296019
a18	0.0013241359	0.01074545	0.75711596	0.18804616	0.034689683	0.008078548
a31	0.00045047258	0.00850052	0.20511387	0.70109135	0.054612454	0.030231293
a39	0.005716355	0.008892526	0.68876666	0.28857368	0.006781183	0.0012696646
a31	0.0012375037	0.0017135205	0.12193514	0.8005763	0.055783562	0.018753849
a8	0.042912677	0.01978048	0.55833447	0.36529008	0.011469996	0.002212348
a31	0.007414288	0.0044194525	0.18253216	0.7321308	0.055812426	0.01769078
a8	0.046803653	0.021906203	0.5779483	0.3316819	0.017697169	0.0039627966
</S>	0.012874284	0.01023046	0.24580799	0.6437017	0.061521895	0.02586366
