 	devo	comprare	il	pane	ogni	giorno	</S>
a8	0.0013861053	0.1439124	0.058248598	0.05183898	0.12863381	0.54733145	0.068648644
a31	0.1351009	0.14799668	0.033404842	0.05513403	0.21793717	0.38694793	0.023478415
a10	0.002239669	0.023870526	0.0044541033	0.010512265	0.18887058	0.7274786	0.04257419
a20	0.0007913117	0.0052352184	0.0011537885	0.0036719674	0.15931867	0.80571204	0.024116928
a10	0.0009869988	0.007759734	0.0023279414	0.008209384	0.078678966	0.8772051	0.024831807
a31	0.0065366714	0.079940975	0.022613611	0.027389316	0.068029314	0.77265286	0.022837244
a14	0.001581639	0.012616	0.0090251705	0.026878187	0.08209384	0.82422036	0.043584786
a31	0.0019257376	0.042801436	0.01621246	0.038508218	0.09900784	0.75720876	0.044335496
a37	0.0018366675	0.023636572	0.02395345	0.06448747	0.07648785	0.7738561	0.035741813
a31	0.0013351388	0.0703755	0.041049294	0.09497842	0.107314646	0.63390464	0.051042307
a46	0.0063553457	0.084278524	0.092596285	0.26378182	0.11772932	0.42101142	0.014247312
</S>	0.0017143897	0.02330284	0.018542187	0.076882906	0.17478335	0.6418122	0.062962145
