 	sto	e	cucino	</S>
a31	0.10282871	0.5546169	0.3378882	0.0046661934
a20	0.19870065	0.27261624	0.5205947	0.008088367
a31	0.15287423	0.11344821	0.73032993	0.0033476006
a37	0.026538631	0.28548852	0.6852074	0.002765501
a18	0.05203693	0.11429192	0.820736	0.012935153
a31	0.07931459	0.32166335	0.5635151	0.03550692
a20	0.016164226	0.23262064	0.73204905	0.01916604
a31	0.008273542	0.09752581	0.86775804	0.026442645
a28	0.04702693	0.0706468	0.86910975	0.013216526
a33	0.014623478	0.12658685	0.8275372	0.03125244
a31	0.049399287	0.3005985	0.60606164	0.043940578
</S>	0.15653065	0.21902733	0.5884294	0.036012605
