 	Anna	ora	sta	vicino	a	me	dormendo	</S>
a8	0.0431882	0.27855653	0.002975408	0.34958816	0.27373075	0.05121692	0.00071765826	2.6419268e-05
a31	0.19224116	0.2553958	0.05505404	0.33048606	0.12515844	0.03989825	0.0011403584	0.0006258784
a8	0.03857497	0.31339464	0.038110506	0.27069396	0.30133134	0.03491708	0.002509993	0.00046744695
a31	0.055020608	0.21108508	0.007588167	0.48085484	0.16843942	0.074517034	0.0016834546	0.00081141887
a17	0.011017164	0.15209328	0.0015139891	0.58705586	0.2361409	0.011889498	0.00025854632	3.075543e-05
a18	0.0153862275	0.22467539	0.00095679733	0.56895995	0.16430864	0.025378745	0.00018882888	0.00014547896
a31	0.05380761	0.38365278	0.0023402255	0.37190753	0.17355533	0.014658087	6.0041002e-05	1.8394961e-05
a17	0.01177044	0.14829409	0.001307025	0.62122387	0.1917588	0.0249077	0.0006861598	5.1928168e-05
a30	0.02844323	0.2612279	0.0027423326	0.4578986	0.20481187	0.04378123	0.0008136262	0.00028121457
a17	0.10866297	0.379328	0.0019603386	0.38277793	0.110029235	0.017137336	7.459523e-05	2.9624374e-05
a39	0.072254166	0.36470136	0.0056285094	0.29359797	0.25220478	0.011389615	0.00019393057	2.9735524e-05
a17	0.105237424	0.42230678	0.0044543506	0.28978723	0.16860524	0.009485741	9.051313e-05	3.2682732e-05
a31	0.08158753	0.40514734	0.0047492785	0.29497507	0.20551379	0.007890736	0.00010321299	3.3137367e-05
a17	0.018533865	0.19234064	0.0013453386	0.5132744	0.25208616	0.021306975	0.0010287291	8.390739e-05
a20	0.076195575	0.43485105	0.0041321367	0.35571954	0.12503576	0.003934581	8.21225e-05	4.922144e-05
a27	0.12911786	0.4281848	0.0063487133	0.31508493	0.11731031	0.0036273869	0.00021319964	0.000112804555
a20	0.104183964	0.3954008	0.010128379	0.35496014	0.12899798	0.0054956013	0.0005623898	0.0002708056
a31	0.07660484	0.36802214	0.010645356	0.38238668	0.15275471	0.007940337	0.0010759124	0.00057007646
a18	0.0074270465	0.10403944	0.0010679556	0.69088656	0.16907266	0.02686678	0.000587977	5.1610365e-05
a31	0.032895613	0.28900707	0.013886205	0.44445583	0.19892795	0.01614664	0.0030846905	0.0015960358
a13	0.007144866	0.07310829	0.0009032095	0.7892805	0.11261059	0.016747743	0.00019046899	1.4359711e-05
a20	0.017542748	0.2300149	0.012407251	0.48410225	0.23068333	0.020767914	0.0034834142	0.000998259
a31	0.01748471	0.21944167	0.013765085	0.4689845	0.2508015	0.023341443	0.004926812	0.0012541839
a28	0.010773396	0.060250454	0.0008903598	0.83374745	0.08116197	0.013027788	0.0001387257	9.827284e-06
a31	0.015024911	0.21720394	0.016904373	0.4355068	0.28533936	0.024028396	0.0048019574	0.0011903226
a8	0.011588473	0.04638682	0.0006753224	0.8594105	0.07040938	0.011403845	0.00011746389	8.1601665e-06
a17	0.012680213	0.11989156	0.0047305515	0.5540064	0.2837819	0.022383146	0.0022270454	0.00029924815
a8	0.013141093	0.10081277	0.0031875279	0.5944615	0.26469773	0.021514924	0.002020684	0.0001637791
a23	0.013177657	0.09422516	0.0028566648	0.6056064	0.2564171	0.025198746	0.0023636904	0.0001546032
a8	0.012513429	0.11119901	0.0041887434	0.56384766	0.28111637	0.024190884	0.0027254333	0.00021848363
a20	0.013301654	0.09463824	0.0029729484	0.6024986	0.258532	0.02546221	0.0024377315	0.00015668152
a31	0.010340031	0.14941485	0.0074720825	0.5055327	0.30000955	0.023248471	0.0034636417	0.00051868113
a39	0.011677947	0.03819323	0.00052163814	0.87412417	0.06283356	0.012462186	0.00017416856	1.3158517e-05
a18	0.010804346	0.13361686	0.0064288476	0.51670897	0.30134678	0.026850283	0.003786421	0.00045753518
a37	0.010943216	0.13915308	0.0065833195	0.5121675	0.3059661	0.021688296	0.0030970464	0.0004014478
a31	0.011958543	0.15163083	0.0076567163	0.5031958	0.30002016	0.021775618	0.0033126876	0.00044965988
a8	0.012627587	0.04278819	0.0006065865	0.86290365	0.06739602	0.01346967	0.00019415292	1.404154e-05
a23	0.011993351	0.11308584	0.0045709903	0.55400133	0.28432083	0.028285649	0.0034442414	0.0002977058
a37	0.012097616	0.10758669	0.0042270594	0.56048757	0.2888925	0.023723293	0.0027606415	0.00022466373
a8	0.011057285	0.13988353	0.00668409	0.514379	0.3017957	0.022537582	0.0032480885	0.0004147652
</S>	0.011858993	0.10496836	0.0040576826	0.5644866	0.28876582	0.022993928	0.0026438604	0.00022472885
