 	che	vende	buon	pane	</S>
a17	0.05742375	0.0697339	0.1989266	0.5915924	0.08232341
a31	0.6402896	0.0128911035	0.008655936	0.19739328	0.14077011
a11	0.27057368	0.044856023	0.029627156	0.56474835	0.09019485
a39	0.117249265	0.0091183195	0.019994639	0.55999076	0.29364705
a35	0.04678178	0.019783363	0.07022241	0.46313742	0.40007502
a39	0.07492751	0.06319337	0.20909913	0.33049172	0.32228827
a31	0.19661859	0.110960364	0.26737317	0.23109747	0.19395043
a24	0.018269762	0.007779549	0.1286886	0.7545028	0.09075927
a18	0.11908241	0.025572851	0.09007339	0.40598428	0.35928702
a31	0.17438324	0.095968865	0.27948582	0.2998569	0.15030517
a13	0.05317387	0.008732656	0.09711334	0.7016321	0.139348
a31	0.015980782	0.047139417	0.2515642	0.48725525	0.1980603
a46	0.10474166	0.010116215	0.11671443	0.6048592	0.16356856
a8	0.0061070486	0.06361997	0.3837994	0.417427	0.12904656
</S>	0.005913866	0.08661586	0.5479802	0.29356337	0.065926686
