 	lo	sentii	che	viene	</S>
a43	0.46791312	0.06550376	0.15034138	0.30496538	0.011276389
a17	0.27185163	0.033511836	0.024374763	0.64516056	0.025101233
a11	0.19189556	0.011269515	0.016154539	0.755255	0.025425421
a31	0.18187383	0.0066133505	0.018951656	0.73081124	0.061749913
a46	0.4021509	0.030710451	0.055630833	0.49993294	0.01157482
a6	0.24637172	0.01002018	0.039969776	0.62603045	0.07760782
a31	0.5554046	0.03794992	0.09319679	0.2690981	0.044350535
a15	0.18265839	0.019688267	0.18344928	0.57870704	0.03549706
a20	0.5181051	0.022521129	0.059152458	0.33122337	0.068997964
a31	0.5734386	0.043269318	0.086313315	0.22536741	0.071611345
a17	0.060831588	0.0072256103	0.20787683	0.6536115	0.070454456
a31	0.13986997	0.03864847	0.22273327	0.46222937	0.13651891
a13	0.024906328	0.005070795	0.09803461	0.8234494	0.048538823
a39	0.07209995	0.05430206	0.33904755	0.44766593	0.086884454
a46	0.06587754	0.059690293	0.46578923	0.3559281	0.052714873
a31	0.060340315	0.060024787	0.47542766	0.35500848	0.049198736
a18	0.019698722	0.009705122	0.10014301	0.83812356	0.03232959
</S>	0.04913501	0.058312193	0.50470597	0.345754	0.042092822
