 	si	è	rotta	la	coppa	</S>
a31	0.07098931	0.004052222	0.12352216	0.78341156	0.015049801	0.0029749002
a20	0.58674777	0.011573564	0.07114983	0.31643355	0.012194365	0.001900999
a19	0.35508832	0.002641308	0.05126439	0.5688053	0.018149808	0.0040508844
a18	0.102425724	0.0021712235	0.109060235	0.72251165	0.049920667	0.013910496
a27	0.5228265	0.005676145	0.11266324	0.30941436	0.03635403	0.013065708
a31	0.64962244	0.008394994	0.10338333	0.19408026	0.03183844	0.012680602
a39	0.03148121	0.0015046293	0.1673913	0.74631846	0.046114907	0.0071895504
a31	0.23509844	0.013806625	0.20525494	0.34443155	0.14563498	0.05577349
a46	0.014037168	0.0009600891	0.27027324	0.59120023	0.11530022	0.008229035
a31	0.026705	0.006164432	0.25402302	0.5365122	0.15610625	0.020489069
a20	0.06627462	0.0037926063	0.18526669	0.6798084	0.057155374	0.0077024074
</S>	0.028631536	0.010798758	0.1316357	0.7612331	0.054231334	0.013469631
