 	l'	ha	scritta	</S>
a20	0.97159606	0.010260436	0.013137008	0.0050064656
a31	0.7756386	0.0011189851	0.2210558	0.0021867084
a35	0.81054395	0.0026684636	0.1757145	0.011073086
a31	0.12269442	0.0029441863	0.8510593	0.023302061
a35	0.7361585	0.0042325296	0.24724513	0.012363822
a31	0.03911085	0.0014747981	0.92930484	0.030109432
a41	0.3588789	0.019123495	0.54585314	0.07614441
a31	0.018194124	0.0027314874	0.890522	0.0885523
a11	0.25674802	0.04809753	0.5383243	0.1568302
a18	0.11038414	0.033670075	0.62252206	0.23342372
a13	0.32197136	0.074845344	0.37051645	0.2326669
</S>	0.52436775	0.13428353	0.197568	0.14378066
