 	vestita	la	figlia	l'	avevo	portata	alla	chiesa	</S>
a31	0.013894439	0.07652582	0.21906465	0.21848758	0.3762554	0.0058632735	0.0009538899	0.08647282	0.0024821928
a16	0.042607293	0.16398825	0.18934146	0.2119441	0.24889404	0.036844715	0.00846767	0.08770792	0.010204532
a31	0.09366857	0.0787624	0.15212445	0.17140134	0.45029464	0.008656477	0.0040851734	0.036793243	0.004213755
a24	0.07525924	0.21079597	0.14941174	0.2078216	0.1909627	0.011421395	0.0026746043	0.13917504	0.012477646
a28	0.032422975	0.036216523	0.11100946	0.10061277	0.4822514	0.0055222414	0.010384659	0.19872923	0.022850623
a31	0.024916966	0.033877045	0.121747114	0.123852134	0.6104631	0.0039520073	0.0070048366	0.069098905	0.0050878087
a41	0.0127512235	0.048952654	0.18226543	0.18166915	0.40949538	0.0045541525	0.0010158757	0.15567553	0.0036205107
a31	0.0108309705	0.03815391	0.14730978	0.16899797	0.5557862	0.007010589	0.013586843	0.05322136	0.005102389
a28	0.009407556	0.03950174	0.16219021	0.17081401	0.43760425	0.0056009353	0.0011459485	0.17077751	0.0029578398
a20	0.0051467745	0.031187814	0.16823441	0.17893799	0.5434279	0.007543162	0.017950958	0.04227672	0.0052942606
a46	0.0034956716	0.023001583	0.16786675	0.17929405	0.58276063	0.004830018	0.010268405	0.025391605	0.0030912394
a11	0.004011754	0.026435088	0.16863905	0.19825721	0.57562643	0.0037026377	0.005453022	0.016094139	0.0017807075
a46	0.004703429	0.03277674	0.17890142	0.20926042	0.55397433	0.0035208901	0.0046861223	0.010667245	0.0015094095
a31	0.0076073534	0.049992453	0.19026203	0.24052787	0.49996555	0.0026006764	0.0021698507	0.0060524857	0.0008217681
a17	0.00500222	0.023860458	0.15214008	0.15594268	0.48204944	0.0051153754	0.0011996997	0.17264046	0.0020495835
a31	0.003847671	0.026437072	0.1748131	0.1976774	0.5742296	0.0033234318	0.0043143537	0.013998941	0.0013584127
a20	0.0039604018	0.019129137	0.15594749	0.1449016	0.4986195	0.0038567972	0.0011769102	0.17078467	0.0016235895
a31	0.00172275	0.011395471	0.17513755	0.1646832	0.6266342	0.0026190858	0.0050039357	0.011101907	0.001701884
a13	0.0033978608	0.017818661	0.16919422	0.1650811	0.5217268	0.0038540037	0.0010598177	0.11683317	0.0010344075
a18	0.0018579052	0.010710161	0.17029907	0.16795762	0.63394946	0.0021381485	0.003312668	0.008457154	0.0013178543
a13	0.0015566788	0.007830209	0.16446441	0.1558937	0.6589656	0.0015711804	0.0021316477	0.006399891	0.0011867189
a31	0.0015371257	0.007813341	0.16724938	0.16255535	0.6525278	0.0011261301	0.0013181994	0.0049043586	0.00096827303
a18	0.002570161	0.012710589	0.17371832	0.16077738	0.5709568	0.0037033372	0.0010205791	0.073912494	0.0006303486
a3	0.001546891	0.005799252	0.15178432	0.14667775	0.6844994	0.0015261844	0.0016663168	0.0053178775	0.0011820559
a0	0.0013393199	0.004601395	0.14023098	0.144249	0.7023956	0.0008096996	0.0008085413	0.0045059198	0.0010595812
a20	0.0013117944	0.0045281798	0.13834159	0.14942972	0.6997315	0.00073787104	0.00071428646	0.004177614	0.001027446
a31	0.0011481926	0.003521169	0.13098878	0.12903212	0.7270714	0.00083749666	0.0008083915	0.0051700086	0.0014224713
a13	0.002802102	0.009606456	0.16904882	0.16995697	0.6267313	0.0028787067	0.00044409212	0.018323932	0.00020771468
a31	0.0013856768	0.0031186054	0.10481695	0.11713548	0.7654219	0.00070275407	0.0006018477	0.0055689076	0.0012478783
a20	0.002992326	0.008737359	0.15604426	0.16666578	0.6514059	0.0022232456	0.00029210205	0.011483876	0.00015522234
a13	0.0011783052	0.0022380443	0.08152049	0.090745844	0.812093	0.0007096263	0.00060658035	0.009235152	0.0016729997
a20	0.0014365999	0.0027644632	0.07697059	0.08880577	0.81324226	0.0005810863	0.00060213136	0.013665007	0.001932046
a31	0.0014184536	0.0027038492	0.07333872	0.08407088	0.81378347	0.0008087464	0.0008195425	0.020240143	0.0028161528
a17	0.0024368477	0.0064155958	0.13211508	0.147304	0.7049679	0.0008994308	0.000112947215	0.0056589395	8.9148336e-05
a20	0.0018895856	0.0035515204	0.076217696	0.073284455	0.82496065	0.0004603299	0.00037463408	0.018216189	0.0010450003
</S>	0.001946986	0.0035256036	0.06483054	0.069401294	0.80967367	0.0009666752	0.000933613	0.045380507	0.0033411018
