 	il	cibo	vuole	mangiato	appena	lo	cucini	</S>
a8	0.00048474086	0.94565374	0.00023640586	0.0013127906	0.008803305	0.024066634	0.01597634	0.0034659472
a31	0.17724247	0.72343034	0.0037883513	0.0031827579	0.0029518332	0.065551	0.018995883	0.004857372
a39	0.01857495	0.44971713	0.0029608672	0.007389832	0.0061442377	0.21318915	0.26957116	0.03245259
a21	0.005600535	0.69160616	0.0004111505	0.0005719899	0.0019944068	0.1431912	0.13463262	0.021991966
a31	0.002356527	0.92770684	0.00058157166	0.0011005905	0.002498959	0.031555463	0.027381599	0.006818473
a37	0.0013472239	0.8742621	0.0003693154	0.00072342035	0.0038083857	0.047148243	0.066453986	0.0058872807
a31	0.0016098414	0.95321894	0.00032054394	0.0005841262	0.0021489232	0.02467775	0.0136212995	0.0038186216
a41	0.0004964161	0.92444855	0.00019979039	0.0004212828	0.005117354	0.029509556	0.035584103	0.0042228866
a10	0.0006554656	0.9514326	0.0002764348	0.0006432038	0.003698568	0.028401861	0.011598422	0.0032934637
a31	0.0019200046	0.98467165	0.00074737356	0.0018486237	0.0024868432	0.0051725996	0.0023121068	0.0008408101
a46	0.00038686645	0.95510024	0.00023762569	0.00082873023	0.013333325	0.02030555	0.008218761	0.0015888913
a20	0.0006700858	0.9754151	0.00035175236	0.0018219233	0.0056531485	0.008981216	0.0044252034	0.0026815066
a13	0.00077299966	0.95470434	0.00090698496	0.0055633425	0.008975714	0.011643919	0.010905348	0.006527471
a31	0.0010973783	0.9589741	0.001398847	0.007340508	0.014312286	0.007053826	0.006344177	0.003478786
a39	0.00042303285	0.98268604	0.00012296865	0.0005156751	0.0066406117	0.007964593	0.0013548281	0.0002923207
a16	0.001361869	0.8880159	0.0016011703	0.013469281	0.022597408	0.028647957	0.030125739	0.014180612
a13	0.0015968306	0.6679139	0.004390246	0.033926647	0.06161702	0.08706302	0.09785417	0.045638103
a31	0.0016515438	0.83424634	0.0032678246	0.02038719	0.07058359	0.030245565	0.028614106	0.0110037895
a37	0.0008470674	0.9881137	0.00015105	0.0005341839	0.0042726262	0.0043241694	0.0014108139	0.00034640217
a31	0.0031227048	0.688925	0.004870953	0.041701853	0.08810061	0.070015885	0.07063454	0.032628376
a8	0.00134154	0.98177034	0.00024044645	0.0005459064	0.0052569048	0.0074950727	0.0029414091	0.00040845928
</S>	0.0036773838	0.72530967	0.002961756	0.009943425	0.03754742	0.10173386	0.103800565	0.015025959
