 	le	ragazze	vogliono	guardate	</S>
a10	0.010718422	0.78347987	0.12668672	0.07064235	0.008472532
a20	0.5756306	0.11106733	0.012268748	0.26019338	0.040839948
a31	0.18155108	0.17483108	0.019104652	0.50159186	0.12292137
a20	0.25689554	0.55533445	0.02684254	0.13904913	0.021878475
a11	0.042947825	0.107439876	0.016643083	0.64386517	0.18910408
a31	0.020450458	0.12180457	0.024209438	0.61304194	0.22049354
a0	0.032416046	0.54052234	0.1343743	0.24063604	0.05205131
a31	0.01729246	0.20673965	0.03734881	0.5387115	0.1999076
a39	0.016358934	0.515321	0.14716037	0.26977426	0.051385414
a18	0.007153676	0.27179566	0.042575363	0.4937023	0.1847731
a31	0.020784015	0.6043971	0.061621863	0.22509891	0.088098064
a8	0.012842898	0.4854146	0.08358724	0.35459036	0.063564874
a31	0.007496387	0.39769667	0.052478004	0.4064484	0.13588043
a46	0.036416	0.43812025	0.059752356	0.414402	0.051309463
a18	0.012238503	0.38120392	0.07024695	0.42688254	0.109428085
a35	0.008551838	0.70060164	0.11343929	0.13763954	0.039767712
a31	0.007538061	0.72581655	0.13516295	0.10339803	0.028084379
a39	0.038047448	0.55781084	0.15555812	0.21812232	0.030461304
a8	0.0113197565	0.71654296	0.13128486	0.11233053	0.028521877
a23	0.013851759	0.7188282	0.14095901	0.0972818	0.02907919
</S>	0.014265975	0.73134774	0.14154153	0.08588699	0.026957687
