 	mia	figlia	vuole	andare	</S>
a46	0.16688271	0.8276809	0.0015466174	0.0033538502	0.0005358594
a31	0.51582736	0.4804665	0.00081472256	0.0016077553	0.0012836889
a7	0.52205616	0.47445756	0.0007325609	0.0015360848	0.0012176865
a20	0.32656327	0.6602788	0.00087182736	0.0057152775	0.0065707956
a31	0.23975582	0.73499554	0.0011668734	0.011847173	0.012234591
a46	0.3424831	0.6450803	0.0017623795	0.007943023	0.0027311111
a31	0.15223466	0.81526196	0.00076862803	0.01564839	0.016086228
a46	0.069642864	0.8809931	0.0013549835	0.038569823	0.009439083
a31	0.034893617	0.91628015	0.0008900252	0.029850362	0.01808593
a11	0.025033252	0.928063	0.0009428652	0.03731189	0.0086491695
a3	0.019820504	0.8656975	0.0025875126	0.0804418	0.031452633
a31	0.057510674	0.85839766	0.008101693	0.06420569	0.011784162
a27	0.054735996	0.9160049	0.0025615045	0.019724833	0.006972832
a0	0.12495802	0.68493783	0.020034853	0.11941979	0.050649453
</S>	0.17239009	0.6770613	0.03787861	0.08437007	0.02829989
