 	non	ha	da	mangiare	</S>
a31	0.56919694	0.08732163	0.061903875	0.21691358	0.06466393
a20	0.58464354	0.00404691	0.0026695284	0.39533666	0.013303392
a31	0.1252088	0.0032083527	0.0024834196	0.85326946	0.015830018
a41	0.31966025	0.007042578	0.0031166677	0.6469719	0.023208737
a10	0.012180114	0.0018934077	0.0019911574	0.9466209	0.03731443
a31	0.046963844	0.004691366	0.0030903132	0.8737145	0.07154005
a15	0.075781666	0.018503496	0.013134306	0.811262	0.0813186
a31	0.006004226	0.0014451001	0.0017641874	0.95997554	0.03081093
a39	0.20622605	0.03726164	0.035213687	0.6743509	0.04694766
a37	0.03578783	0.01383425	0.021177012	0.804015	0.12518597
</S>	0.18431304	0.032558978	0.025978144	0.6163146	0.14083526
