 	dopo	Giovanni	ritornò	la	sera	a	casa	andava	molto	stanco	perché	aveva	lavorato	tutta	la	settimana	</S>
a31	0.00047944055	0.0008312836	0.054694653	0.05329178	0.099755086	0.12330379	0.02481569	0.033758827	0.1123555	0.04759346	0.021949971	0.1286452	0.0110815205	0.0050123446	0.1335404	0.1355752	0.013315793
a29	0.0017723602	0.0053342935	0.06654263	0.06874586	0.087525465	0.0646168	0.03921557	0.12071443	0.08095469	0.0823623	0.06178227	0.08134066	0.047671255	0.03239205	0.07083284	0.065368004	0.022828516
a35	0.0015539079	0.0028441525	0.05691982	0.07000613	0.13788436	0.05859135	0.03451122	0.1702518	0.09173821	0.08072778	0.06899092	0.0797473	0.051569615	0.027661238	0.037217207	0.02175093	0.008034034
a31	0.0009536879	0.0016603863	0.07902943	0.09177328	0.1955587	0.054180715	0.02582947	0.21691816	0.07035441	0.05539265	0.044747673	0.05463392	0.033745248	0.019017851	0.030049974	0.019942429	0.006211994
a39	0.0030235334	0.0025059616	0.17578034	0.088068925	0.14369723	0.06356447	0.016599521	0.12966546	0.034314115	0.114038914	0.032756124	0.046585727	0.031268336	0.0183836	0.029862644	0.06450952	0.0053755757
a29	0.00043861847	0.00069592387	0.049358256	0.07388158	0.20442533	0.06236128	0.01882214	0.23682746	0.10913691	0.05887775	0.043124408	0.059901007	0.02601516	0.009320665	0.030739825	0.011691391	0.0043822466
a11	0.0005642686	0.0008585725	0.04931566	0.07207146	0.18033347	0.09764762	0.019650511	0.17201386	0.15305884	0.06735126	0.035991855	0.060878713	0.021155313	0.007082446	0.043806408	0.014534107	0.0036856008
a24	0.00092343596	0.001124622	0.035577737	0.054670207	0.12627329	0.10532643	0.021408243	0.1202212	0.235511	0.080265716	0.036954284	0.08031234	0.018614104	0.0048469193	0.06216364	0.012816857	0.002989859
a31	0.0013184	0.0017471303	0.04142276	0.048271313	0.12675853	0.1547696	0.034723822	0.09747903	0.20592391	0.06664027	0.025496747	0.06845568	0.017092438	0.0072648055	0.059170894	0.035764694	0.0076999525
a28	0.00097299495	0.0025133267	0.1279489	0.12381663	0.21275282	0.17372313	0.021685353	0.029073332	0.062276904	0.041814562	0.019425968	0.042556446	0.01563073	0.009544017	0.050203178	0.06140923	0.004652527
a31	0.0010185487	0.0009819447	0.022655787	0.03910058	0.09545532	0.09011012	0.022488529	0.113790326	0.3020481	0.067451045	0.034114543	0.101869844	0.014093994	0.0033746676	0.07670511	0.012135817	0.0026057386
a0	0.00085003936	0.00198575	0.1182849	0.11490277	0.20728192	0.18062767	0.02032416	0.030671917	0.06643869	0.04572378	0.019545814	0.04605775	0.015374817	0.0088313725	0.052174494	0.0665955	0.004328559
a20	0.0002523469	0.00052533706	0.020172307	0.033097588	0.111952	0.09968694	0.018750802	0.15196894	0.29543424	0.05510678	0.026824635	0.0835506	0.011729358	0.0032858662	0.06752519	0.016459433	0.0036775693
a31	0.0005816791	0.0006605018	0.025228586	0.043187026	0.09092708	0.0752869	0.01512262	0.11923608	0.28872737	0.08442519	0.037378583	0.10778197	0.013502009	0.0027234077	0.082808726	0.010624027	0.0017981777
a13	0.00061443105	0.0014130586	0.10563889	0.107147135	0.21021408	0.17528804	0.017309994	0.0356628	0.07370572	0.046260152	0.018914469	0.050381564	0.0136270365	0.007308071	0.06009469	0.072166815	0.0042530634
a31	0.00013655209	0.00029694184	0.016725088	0.029691864	0.104756996	0.079002224	0.012059623	0.17312862	0.31305176	0.059161384	0.027635744	0.08938326	0.010377587	0.0024538448	0.06745159	0.01226789	0.002419089
a28	0.00053959165	0.0012831107	0.100811206	0.10374867	0.21305434	0.16962117	0.015970482	0.038322087	0.077171855	0.04633719	0.018893119	0.05227339	0.013140983	0.0069930144	0.06393471	0.0735816	0.004323463
a31	3.101377e-05	0.000103480925	0.0075284624	0.015546058	0.078187265	0.048945885	0.004971437	0.24358305	0.37170273	0.051186513	0.021150855	0.08803322	0.006825128	0.0014359035	0.04987403	0.008383715	0.0025112496
a46	0.00045238173	0.0010890168	0.09166031	0.097286455	0.215616	0.16526115	0.014804472	0.04129437	0.08392281	0.047035236	0.019063344	0.05564916	0.012603612	0.006533045	0.06853932	0.07487578	0.0043135025
a8	2.795668e-05	6.40926e-05	0.006595487	0.014364897	0.07841905	0.041594677	0.0034919083	0.28346393	0.35519707	0.04399059	0.016850118	0.08709709	0.005447549	0.0012810028	0.049501266	0.010265982	0.0023473476
a24	3.8660488e-05	5.7895297e-05	0.0072586616	0.015639724	0.08212111	0.044478882	0.0031706314	0.26698735	0.34629998	0.04525215	0.015055049	0.09129904	0.004664653	0.0011164024	0.06050483	0.014179571	0.0018754475
a31	4.7110236e-05	0.00011553071	0.00809403	0.015251407	0.07376946	0.05998973	0.0063327765	0.19514355	0.3906675	0.050853785	0.018799832	0.0932761	0.0063466104	0.0014997353	0.062177982	0.014573411	0.00306136
a20	0.00033749477	0.0008065276	0.0780822	0.08750506	0.21898505	0.1544797	0.0121057285	0.048112616	0.094940655	0.048728943	0.019003402	0.06189565	0.0115644615	0.0057054316	0.07596686	0.07755425	0.0042260294
a31	1.6372767e-05	3.8514867e-05	0.0038385356	0.009563071	0.050957583	0.023116296	0.00197529	0.31705788	0.39467654	0.037232228	0.014902388	0.09081019	0.004158795	0.00079901377	0.04316897	0.0059577636	0.00173052
a24	0.0002705381	0.0005927469	0.06513486	0.07550338	0.2088783	0.14515138	0.0095474385	0.056043837	0.10738053	0.053243518	0.018968582	0.07109803	0.0107509075	0.0048438082	0.084701985	0.08405742	0.0038326958
a28	2.7280406e-05	9.649024e-05	0.0050065024	0.009892788	0.051566992	0.04162843	0.004316237	0.22769845	0.43933406	0.042096123	0.014898959	0.088142306	0.0048207436	0.0011057219	0.054419883	0.01132487	0.0036240483
a31	1.04759365e-05	1.9833573e-05	0.0019679856	0.0058702873	0.028848296	0.012022938	0.0007944979	0.29447636	0.4643886	0.034471087	0.011707925	0.10054004	0.0023948748	0.0003442406	0.037945732	0.003298642	0.00089816115
a20	0.00019642522	0.00043353898	0.04827956	0.060682513	0.19835778	0.13301373	0.008252801	0.063111566	0.13390376	0.055158343	0.019284667	0.08299142	0.009904126	0.0041818772	0.095198244	0.08341459	0.0036350247
a31	1.1235606e-05	1.9579255e-05	0.001912541	0.005901548	0.027890716	0.010747246	0.00087399286	0.3316844	0.4435944	0.026504846	0.010694016	0.094986774	0.0023229795	0.00035652885	0.038198058	0.0033509897	0.0009501807
a20	0.00017135625	0.0003324637	0.039246682	0.051331826	0.18218613	0.11690955	0.0060116407	0.074142195	0.14920396	0.058103543	0.018391024	0.09491998	0.008757858	0.0033794735	0.105410576	0.08829813	0.0032036363
a31	8.58226e-06	1.4239764e-05	0.0012587034	0.0045239446	0.01889261	0.00709963	0.00053392065	0.31007972	0.49320903	0.020991515	0.008546463	0.09567774	0.0014797999	0.00019380111	0.034753717	0.0021034633	0.00063304923
a20	0.00012766606	0.00023377863	0.026362993	0.03755501	0.15091948	0.0994428	0.0044874735	0.08335186	0.1889432	0.059869938	0.01732603	0.11466446	0.007281287	0.002407682	0.118078634	0.086424515	0.0025231724
a8	5.8609467e-06	1.0657684e-05	0.00078732544	0.0033459305	0.011469614	0.004364865	0.00029479183	0.28146663	0.55555755	0.015262913	0.0061928118	0.089815415	0.00078215776	9.0258305e-05	0.02903386	0.0011113206	0.00040808177
