 	forse	sono	usciti	</S>
a23	0.5877684	0.05129035	0.35957772	0.0013634943
a31	0.6891641	0.044137586	0.26025465	0.0064436253
a23	0.29681095	0.09645474	0.5971058	0.009628518
a31	0.5115631	0.016292907	0.46996033	0.002183633
a10	0.23514596	0.011718968	0.7516824	0.0014526128
a37	0.78265876	0.0034807315	0.21358444	0.00027605076
a31	0.9151424	0.004945227	0.07977394	0.00013844711
a37	0.4487333	0.010302775	0.5401098	0.00085406774
a31	0.92414814	0.0015974006	0.073590785	0.00066369126
a39	0.62763196	0.0020216885	0.37016958	0.00017677351
a31	0.5414872	0.007002154	0.44554523	0.0059654205
</S>	0.6235717	0.0027672683	0.37313974	0.000521272
