 	dove	aveva	per	stare	non	aveva	</S>
a24	0.033457216	0.09928818	0.18636003	0.37099037	0.05732259	0.24314578	0.009435773
a20	0.29076156	0.068174705	0.113427	0.2210615	0.02136372	0.24529485	0.039916698
a13	0.16065815	0.06917514	0.093141496	0.20570986	0.013753338	0.43977043	0.017791595
a37	0.05471561	0.05469426	0.13166457	0.22042581	0.016583705	0.5018823	0.020033699
a24	0.039004188	0.054733768	0.25295523	0.4672076	0.015658623	0.1648024	0.0056382115
a31	0.02293513	0.07037318	0.31902626	0.4593023	0.027700713	0.09526445	0.0053980094
a20	0.020768847	0.088401675	0.21107513	0.28432423	0.090132356	0.28298005	0.022317706
a0	0.10890074	0.06422788	0.25621614	0.5343666	0.0088271955	0.025901005	0.0015604077
a20	0.082764536	0.095842734	0.24626237	0.5432093	0.011922004	0.019155117	0.0008439809
a31	0.09874353	0.059158545	0.22434014	0.5819029	0.010934573	0.023235882	0.0016844702
a8	0.010753925	0.054460134	0.14112622	0.49980363	0.031260643	0.25174677	0.010848714
a23	0.02662699	0.050905336	0.18088195	0.67956686	0.020048274	0.037514575	0.0044559813
a38	0.021103784	0.069841586	0.17194588	0.5869301	0.047969345	0.091124654	0.011084717
a33	0.015607771	0.080178194	0.18609793	0.47865987	0.09007162	0.12593596	0.023448586
a31	0.01346181	0.053005945	0.15649605	0.49374378	0.07582161	0.18175913	0.025711695
a24	0.019067468	0.019510917	0.0777135	0.5920403	0.025923675	0.24831858	0.017425558
a18	0.010837606	0.06304338	0.26393995	0.49271432	0.08285922	0.071204804	0.015400744
a31	0.010450542	0.07559097	0.23801802	0.4107273	0.11646437	0.12383437	0.02491441
a33	0.018744068	0.01799693	0.06975914	0.5256266	0.03233374	0.31482416	0.020715311
</S>	0.008379363	0.043229923	0.1728494	0.46691257	0.1185682	0.1702251	0.019835433
