 	qui	dentro	deve	mettere	un	tappeto	</S>
a20	0.0019345637	0.00014706202	8.872045e-06	0.24746525	0.46694806	0.25790298	0.025593244
a31	0.013549827	0.0020611892	0.000628305	0.564782	0.13852133	0.26041615	0.02004118
a4	0.0023672183	0.00055295165	0.00019572007	0.5534405	0.19172211	0.21082135	0.04090019
a46	0.0009054457	8.36262e-05	4.3455755e-05	0.52972907	0.115914084	0.3367701	0.016554207
a31	0.0027391885	0.0009009682	0.00060677703	0.39190844	0.2185305	0.31351388	0.07180032
a28	0.0018406991	0.00019406767	4.08682e-05	0.45409137	0.30390403	0.22170338	0.018225512
a27	0.000121222816	2.758758e-05	4.733239e-05	0.35282043	0.2490255	0.37070116	0.027256778
a31	0.00086267723	0.00012602707	6.494281e-05	0.26922762	0.39381662	0.30604902	0.02985316
a49	0.00020926406	3.6259094e-05	1.31938095e-05	0.31299114	0.40768754	0.26850125	0.010561371
a23	2.4349456e-05	9.566663e-06	1.7364271e-05	0.326449	0.26413298	0.40170825	0.0076585547
a31	0.0013069381	0.00024240266	9.724002e-05	0.23488571	0.46438542	0.2693204	0.029761903
a29	0.0001855087	4.2493684e-05	1.52107905e-05	0.26475623	0.4675813	0.25594234	0.0114768585
a17	0.00017901097	9.6275e-05	0.00012478484	0.32864517	0.26341882	0.39099163	0.016544223
a20	0.0012406555	0.00033271508	0.00018021595	0.26369363	0.41976562	0.2905048	0.024282437
a17	0.0016321954	0.00030350406	0.000176468	0.29391626	0.28225002	0.4011358	0.020585774
a31	0.0015019109	0.00029102474	8.8665445e-05	0.24368799	0.4771088	0.26509294	0.012228646
a20	0.00014535966	6.657209e-05	1.83123e-05	0.24265714	0.4852937	0.26411295	0.0077059963
a31	0.00020101939	0.00016560865	0.00023043687	0.25615922	0.26236942	0.46256357	0.018310785
a3	9.556312e-05	2.757659e-05	4.680861e-06	0.27264807	0.38251713	0.34242585	0.002281173
a31	9.808862e-05	3.5185873e-05	1.2017156e-05	0.1922409	0.28711587	0.5162449	0.004253056
a8	0.00022035136	3.396402e-05	5.0609015e-06	0.24320564	0.29641157	0.4586313	0.0014921555
</S>	0.00018500583	3.236598e-05	9.745734e-06	0.1708974	0.27101922	0.5560867	0.0017695494
