 	è	che	è	entrato	da	qui	</S>
a31	0.011920319	0.037049796	0.016971063	0.8225852	0.047567345	0.054520525	0.009385693
a7	0.026146092	0.012732605	0.0007186414	0.39081547	0.0027578806	0.55990005	0.006929292
a18	0.0038609365	0.0018210982	0.00024970822	0.45452946	0.005168137	0.50392044	0.03045024
a31	0.0043284986	0.0035114444	0.0012338749	0.355406	0.028654063	0.53481644	0.072049685
a46	0.007962389	0.0053067002	0.0034956383	0.854961	0.04147246	0.073922254	0.012879557
a31	0.0014437676	0.0012375289	0.000594839	0.3262588	0.022341207	0.58220804	0.06591577
a39	0.002986896	0.0015134052	0.0012066863	0.8435174	0.027106434	0.11044279	0.013226272
a28	0.00033111012	0.00011959201	6.925449e-05	0.10162016	0.0042167488	0.86736625	0.02627687
a31	0.0008342213	0.00047866526	0.00044316903	0.14796822	0.007814398	0.811395	0.0310663
</S>	0.011468795	0.003954622	0.0015991821	0.4512207	0.037857585	0.47362685	0.020272365
