 	se	aveva	vestito	la	figlia	l'	avessi	portato	alla	chiesa	</S>
a23	0.011652388	0.0423747	0.037176713	0.15731084	0.28188536	0.30154592	0.00014587058	0.076865286	0.0031332946	0.08409753	0.0038121266
a31	0.07496704	0.09837556	0.09545426	0.14904997	0.19407752	0.18904343	0.0033938999	0.14229786	0.017455837	0.032219283	0.0036654416
a20	0.011669129	0.077738166	0.17611437	0.19618452	0.15121923	0.1819384	0.0009250693	0.10100201	0.016143786	0.07162088	0.015444467
a13	0.04275605	0.0710587	0.05211431	0.13910078	0.24006338	0.21289217	0.00018809915	0.16053317	0.018374229	0.054588795	0.008330254
a37	0.012496762	0.051306102	0.07104463	0.17095096	0.20658384	0.14532278	0.00012996094	0.18583834	0.020447744	0.118886404	0.01699245
a31	0.013099942	0.055432953	0.07105429	0.21564595	0.25985485	0.17421423	6.0330367e-05	0.11703309	0.013044739	0.07214646	0.008413125
a43	0.005390654	0.03795024	0.057056725	0.1969577	0.23086123	0.1592073	9.586075e-05	0.17476049	0.0033842616	0.12934813	0.0049872966
a31	0.026400385	0.05849604	0.04977937	0.18757124	0.305288	0.21811977	5.808173e-05	0.08830014	0.01134996	0.04859814	0.0060388306
a24	0.003847719	0.023640666	0.029286658	0.16945124	0.2587297	0.15377004	5.5406563e-05	0.17967959	0.0027926608	0.17368816	0.0050581265
a7	0.009449767	0.04910647	0.05372377	0.1755715	0.2568582	0.23393765	9.19862e-05	0.09924317	0.010705783	0.101284616	0.010027086
a31	0.018588811	0.058317564	0.049572926	0.17558242	0.30712608	0.34713805	3.940813e-05	0.030382799	0.0014080813	0.011159011	0.00068482436
a13	0.005372303	0.03023845	0.031316336	0.1645039	0.27743348	0.22465962	9.2653216e-05	0.12959172	0.0026404206	0.1309717	0.003179468
a28	0.009862834	0.03365364	0.023976924	0.12605302	0.3368112	0.37952402	0.0001305886	0.06231546	0.002899009	0.023359342	0.0014139479
a20	0.008244006	0.02651976	0.020816784	0.11153912	0.33028808	0.4589877	8.368937e-05	0.028551936	0.0015013587	0.012345848	0.0011216153
a31	0.010638545	0.027340904	0.02132349	0.10067758	0.30423257	0.5142596	5.079765e-05	0.012450187	0.00068061333	0.007609126	0.0007366702
a37	0.0033457645	0.01468464	0.014222841	0.12176288	0.29328305	0.26971903	8.43881e-05	0.14891222	0.0020531805	0.13042225	0.0015097364
a1	0.0037875997	0.012562848	0.012035991	0.095360205	0.35308328	0.45587987	7.746425e-05	0.04241664	0.0026333572	0.020102298	0.002060453
a28	0.0031435823	0.012773268	0.014959381	0.09728835	0.30672958	0.52110374	5.8036596e-05	0.025031686	0.0020030888	0.014994567	0.0019147458
a1	0.0036422992	0.017081829	0.021846686	0.1074482	0.28309205	0.5136299	0.000106610336	0.026209334	0.0029003292	0.020635562	0.003407192
a28	0.0036377783	0.018038014	0.02325274	0.11106039	0.27670413	0.5190114	0.000121550635	0.024265435	0.002533572	0.01842788	0.002947077
a31	0.004161731	0.024704209	0.03526233	0.13121834	0.26783332	0.45770487	0.00025306517	0.037354752	0.004283909	0.03190016	0.0053233257
a20	0.003129253	0.006775753	0.007395055	0.1025662	0.33986643	0.35963318	5.7110472e-05	0.13738918	0.0018739962	0.0406345	0.0006793293
a31	0.0031251048	0.017231602	0.03776392	0.13425997	0.2698167	0.39536896	0.0002716792	0.0637949	0.007957697	0.06161119	0.008798254
a20	0.0047616633	0.0055932817	0.004656481	0.08650133	0.3715708	0.40245044	2.9847026e-05	0.09314357	0.0010112007	0.029838802	0.00044260596
a31	0.003141367	0.006808322	0.015970334	0.121078886	0.31033796	0.35077086	0.00015473628	0.08684413	0.014504376	0.075555265	0.014833704
a8	0.006451126	0.0053340336	0.0033696156	0.06690813	0.37183246	0.41483364	2.9380051e-05	0.094738096	0.0011347032	0.034803007	0.00056584214
</S>	0.0061050886	0.007044689	0.009227927	0.07509506	0.28750676	0.34013236	8.272064e-05	0.155074	0.008508362	0.10460441	0.006618636
