 	dei	genitori	</S>
a31	0.9619551	0.035067543	0.0029773728
a20	0.9954609	0.002989457	0.001549609
a31	0.99404174	0.0033763074	0.0025819787
a18	0.99088836	0.006285526	0.0028260641
a24	0.9722385	0.014402626	0.013358874
a28	0.96912193	0.011909693	0.018968415
a31	0.98102635	0.008361115	0.010612522
a20	0.9370968	0.040541478	0.022361746
a31	0.85325956	0.05629682	0.090443626
a20	0.92437714	0.040159505	0.035463255
a39	0.47096202	0.16137974	0.36765832
a46	0.639585	0.13828251	0.22213247
</S>	0.69921756	0.1369463	0.16383608
