 	hai	già	mangiato	</S>
a38	0.3301046	0.6347017	0.032022856	0.0031708176
a31	0.9663485	0.027984243	0.0045171385	0.0011500042
a20	0.44103098	0.50630236	0.049609043	0.0030576554
a31	0.92013496	0.07525003	0.0038886832	0.00072634715
a27	0.15445419	0.7565075	0.08653201	0.0025062554
a31	0.89246595	0.09949255	0.0053771865	0.0026642967
a20	0.19052929	0.77334124	0.02704298	0.009086543
a31	0.9257218	0.051364385	0.015662631	0.007251132
a39	0.8823501	0.09765253	0.013946633	0.006050834
a20	0.47395322	0.20703785	0.26339525	0.055613745
a10	0.15494667	0.25656986	0.47175124	0.11673222
</S>	0.11542544	0.35487077	0.3769558	0.152748
