 	non	vieni	alle	sette	perchè	io	non	sono	pronta	</S>
a8	9.196425e-05	8.70813e-07	0.00038382682	0.00011314257	0.36870614	0.33288133	0.15104477	0.14479654	0.0018974296	8.401333e-05
a31	0.005817604	7.0507685e-06	0.016015034	0.01897689	0.5755354	0.20318286	0.09391456	0.071613215	0.011569151	0.0033682939
a7	0.0016761654	5.838775e-06	0.0050577377	0.0039350465	0.498574	0.21916187	0.13801897	0.1136858	0.015911866	0.003972761
a24	0.00037827427	7.5812045e-07	0.0036108715	0.0035577305	0.6395539	0.2297781	0.051979844	0.06270614	0.0072462717	0.0011880671
a38	0.00010794369	6.714307e-07	0.003412201	0.0023850293	0.51920635	0.3446852	0.04489767	0.074172735	0.008906278	0.0022259154
a31	0.000677596	9.161601e-07	0.0051503116	0.0041997028	0.4451276	0.3773072	0.061093025	0.09163132	0.012785225	0.0020270434
a10	0.00068924483	2.732957e-06	0.0013501215	0.0006687689	0.6302147	0.24005607	0.076283656	0.04735939	0.0026742877	0.0007010797
a11	0.0001196709	3.7263578e-07	0.003404443	0.0025627036	0.4706872	0.38973734	0.04353597	0.083501264	0.00563622	0.00081491575
a31	0.00034449785	6.6502076e-07	0.003247863	0.0021303573	0.38579375	0.38508138	0.09102002	0.12498614	0.006734611	0.0006606623
a20	0.00018965009	1.2037953e-06	0.0009350903	0.0002856466	0.48872125	0.36589432	0.07280859	0.06854433	0.002265509	0.00035445092
a10	6.141486e-05	1.285311e-07	0.0019451255	0.0015046764	0.42313924	0.4523804	0.0417731	0.07790638	0.0011516303	0.00013788791
a31	0.00016055458	2.534469e-07	0.0019176992	0.0011243471	0.4066438	0.44949552	0.06705628	0.0728063	0.0007088795	8.634359e-05
a21	4.3099433e-05	6.125074e-07	0.00063299376	0.00017221633	0.4315838	0.40221167	0.07456029	0.08925775	0.0013977947	0.0001396828
a31	3.1227533e-05	1.11991085e-07	0.0018353573	0.0013686495	0.43176255	0.5072327	0.020956786	0.036181696	0.00050273153	0.00012816164
a20	2.0543455e-05	3.9829047e-07	0.000446968	0.00012004276	0.4510723	0.42562205	0.052186336	0.06972829	0.0007373404	6.580417e-05
a13	6.614779e-06	7.515704e-08	0.0014448336	0.0010174942	0.45533854	0.5169305	0.0069347285	0.017456423	0.00066994893	0.00020078888
a31	1.4435262e-05	1.0692495e-07	0.0010141275	0.000647117	0.42802593	0.5413418	0.009943545	0.018138528	0.0006763481	0.00019799474
a41	9.549205e-06	2.6058277e-07	0.0001833018	4.2421994e-05	0.48932073	0.4616125	0.016013727	0.032609966	0.0001964308	1.1091394e-05
a35	1.4169883e-05	3.617409e-07	0.0010702264	0.0006577691	0.46025535	0.5105098	0.005639173	0.019741515	0.0016735931	0.00043804
a31	2.1903721e-05	6.6314095e-07	0.0006472067	0.00033832403	0.4379625	0.5282708	0.008243249	0.022553021	0.0016200123	0.00034229283
a24	2.213274e-05	4.6291996e-07	8.490206e-05	1.576023e-05	0.53699356	0.44347858	0.0044946414	0.01486133	4.6486653e-05	2.124134e-06
a37	5.9078673e-05	2.321764e-06	0.0017345443	0.000813357	0.47825667	0.478264	0.008099338	0.029830594	0.0024413313	0.0004987152
a27	9.572697e-05	7.41885e-06	0.0016991849	0.0007775022	0.46551523	0.47664684	0.012583293	0.037788562	0.0038840463	0.0010021874
a20	0.0001641727	1.5066382e-05	0.0039189635	0.0017664626	0.4440247	0.45250714	0.026779138	0.05911618	0.009150798	0.0025573638
a31	0.00019343397	1.4519324e-05	0.0031781094	0.0013926713	0.43294957	0.46828306	0.032056563	0.05329487	0.006722215	0.0019149634
a37	5.996279e-05	1.5641565e-06	0.0001626729	2.8754714e-05	0.5607781	0.42323858	0.0038200568	0.01184486	6.106841e-05	4.3967952e-06
a31	0.00017796946	1.776089e-05	0.0017307411	0.00064917305	0.45505401	0.47161493	0.020447312	0.045919355	0.0034662525	0.0009224305
</S>	7.14024e-05	2.8472355e-06	0.00010261315	2.1569811e-05	0.62867266	0.36056852	0.0021506322	0.008373892	3.2660268e-05	3.15877e-06
