 	allora	questo	anno	che	viene	vengo	nuovamente	qui	e	mangio	molti	pasticciotti	</S>
a18	0.030145008	0.047494095	0.03652855	0.029020045	0.050377008	0.0893865	0.04424193	0.09221074	0.11280908	0.06865459	0.14949848	0.21027967	0.039354317
a20	0.06389262	0.086362906	0.055624377	0.041466586	0.0467798	0.098951645	0.054109763	0.052769102	0.08709443	0.2325161	0.057535116	0.107136056	0.015761517
a31	0.059947386	0.08727465	0.04592205	0.03188315	0.038864527	0.11562939	0.036912	0.050560188	0.09349604	0.25113666	0.06446906	0.10596996	0.017934948
a24	0.051092897	0.0688274	0.04346503	0.03729828	0.048313018	0.071389824	0.10805695	0.05471612	0.07863658	0.12580262	0.1283404	0.16377395	0.020286927
a31	0.028905848	0.05576809	0.0225343	0.012965678	0.02379797	0.13604707	0.01668204	0.04995152	0.113570474	0.2942562	0.081156485	0.15282096	0.011543284
a7	0.046737622	0.067995965	0.035787642	0.027272945	0.04170407	0.095609345	0.0529644	0.064566664	0.10836501	0.11655587	0.13381138	0.19216996	0.01645912
a20	0.05872419	0.10014308	0.042436745	0.020661868	0.037211303	0.12703294	0.025056705	0.0550689	0.09979766	0.17227957	0.09502561	0.15701036	0.009551086
a39	0.0876935	0.116108656	0.07172949	0.042673025	0.061273724	0.07319879	0.08717892	0.053642113	0.06823222	0.065319404	0.113198884	0.14734633	0.012404948
a31	0.100424096	0.11853611	0.084739305	0.060403448	0.0711181	0.046780713	0.12369776	0.04901057	0.050156273	0.031247934	0.11708319	0.12826714	0.018535411
a46	0.055714842	0.085282765	0.038544763	0.021245856	0.0424087	0.10594105	0.028051086	0.07325121	0.117989935	0.07612716	0.13408357	0.20959271	0.011766301
a31	0.09116317	0.117829986	0.08443389	0.058224253	0.068201594	0.061361093	0.11962323	0.04669259	0.05507974	0.05340227	0.10282343	0.12540066	0.01576408
a17	0.05521825	0.08436898	0.044455387	0.02550972	0.049376715	0.09824903	0.03238056	0.07363159	0.11050282	0.0683179	0.13395973	0.21052125	0.013507961
a20	0.073135845	0.10564597	0.07394207	0.051587306	0.065496996	0.06969413	0.111251906	0.04952793	0.06341814	0.066450365	0.11187911	0.14280887	0.01516137
a17	0.0852459	0.117917776	0.089036345	0.06244686	0.06830645	0.053926844	0.14149107	0.044783182	0.05150483	0.046208896	0.091607384	0.13418457	0.013339922
