 	le	buone	canzoni	si	scrivono	alla	notte	</S>
a46	0.008117827	0.017346287	0.1805111	0.47219753	0.28060213	0.028913537	0.008839306	0.0034722856
a8	0.14763239	0.0057893903	0.003411131	0.010444787	0.73700184	0.0758764	0.014598722	0.0052454215
a31	0.024517126	0.0033885136	0.0034570964	0.01922693	0.7581812	0.13742964	0.04156995	0.012229528
a41	0.08249849	0.04379267	0.07452869	0.075802796	0.63353884	0.061738238	0.021044318	0.007056012
a31	0.012510778	0.00378935	0.0053410684	0.04231042	0.7848632	0.108416654	0.030322867	0.012445636
a0	0.017671442	0.008404697	0.058892827	0.55890536	0.31131792	0.027700214	0.011960531	0.0051469672
a31	0.012353099	0.005772362	0.018315518	0.0721907	0.78551227	0.0821761	0.017093934	0.0065860357
a39	0.008051822	0.0027137736	0.034436725	0.49704456	0.4136683	0.029171154	0.011000223	0.003913469
a31	0.0030225967	0.0013839914	0.007320668	0.060645387	0.86595964	0.051495146	0.0075073605	0.0026652415
a10	0.0050077974	0.0013686162	0.020997653	0.33941534	0.5703705	0.043294117	0.0151420375	0.0044039628
a20	0.0007481304	0.00029703917	0.0023006576	0.034731697	0.9128251	0.04070742	0.006291883	0.0020980544
a31	0.001684561	0.001136606	0.0071722595	0.05464048	0.8999397	0.028743302	0.0047944165	0.0018886541
a10	0.0040359595	0.0011699119	0.018619226	0.2442487	0.67156166	0.045062482	0.01226704	0.0030350792
a20	0.0008872444	0.00045870518	0.0034910017	0.03822373	0.9135768	0.034015514	0.0070366194	0.0023104674
a31	0.0011804956	0.0026964138	0.016781835	0.07172267	0.8494545	0.04058001	0.012250221	0.0053338334
a13	0.005688943	0.0014286194	0.021922655	0.27585074	0.647349	0.037854556	0.008244884	0.0016605664
a20	0.0017490165	0.0022362624	0.01854241	0.09273069	0.817212	0.04772715	0.014888859	0.0049137175
a31	0.0021793942	0.017417433	0.13125564	0.17804955	0.5517705	0.070599735	0.033857815	0.014869979
a28	0.009869537	0.002044687	0.03444307	0.4609338	0.4649084	0.02289159	0.004109467	0.0007993612
a24	0.0030109312	0.014642222	0.15180294	0.2702938	0.4410635	0.073230036	0.03405667	0.011899825
a46	0.003594029	0.027775405	0.48212042	0.229974	0.17905234	0.0433165	0.024278594	0.009888677
a39	0.00312276	0.024301289	0.5210478	0.33220676	0.082262315	0.020088537	0.011567934	0.0054026144
a46	0.0031602369	0.028530397	0.5569759	0.31053993	0.06767386	0.017235544	0.010498569	0.0053854934
a8	0.0032386298	0.029326128	0.5633909	0.3101436	0.06303905	0.015767097	0.009826681	0.0052679307
</S>	0.0035782035	0.033858724	0.5658043	0.2857585	0.07432003	0.018254137	0.011789291	0.006636833
