 	lo	ho	finito	di	fare	</S>
a8	0.13503987	0.7772068	0.0017213075	0.025018271	0.054517247	0.0064964746
a31	0.8161182	0.15110277	0.000388916	0.023488784	0.0031542918	0.0057470445
a20	0.43626055	0.54344946	0.00022946241	0.00818097	0.009199191	0.0026803894
a24	0.66854966	0.21818	0.0010144828	0.07019044	0.024486477	0.017578939
a18	0.3811668	0.3926871	0.0008188146	0.11788739	0.05417714	0.053262692
a31	0.6108916	0.3486046	0.00023898172	0.027566694	0.0065381587	0.006159926
a20	0.2801819	0.5513451	0.0006057793	0.026888628	0.13044241	0.010536149
a10	0.4862391	0.3893033	0.0011850288	0.07891811	0.022254415	0.02209997
a20	0.4886571	0.48312908	0.00059639715	0.015124462	0.008141664	0.004351199
a7	0.32838395	0.5758379	0.0015373281	0.03818115	0.037302997	0.018756669
a31	0.2229333	0.61961925	0.002141651	0.04873635	0.077887855	0.028681587
a20	0.04273195	0.45774344	0.0019438934	0.3300303	0.095237374	0.07231303
a18	0.03285497	0.45744354	0.0037912333	0.14830053	0.25572434	0.10188542
a24	0.01885076	0.37539947	0.0032212024	0.092579335	0.46352574	0.04642351
a46	0.025154185	0.4285675	0.0019343412	0.11758129	0.36894864	0.05781403
a31	0.021642065	0.3191186	0.0026536998	0.104664825	0.50090533	0.05101547
a33	0.08082616	0.23525165	0.0013859908	0.3343082	0.29453695	0.053690966
a8	0.024578901	0.4619741	0.001226505	0.061546635	0.42908728	0.021586673
</S>	0.013522489	0.2861749	0.0016799397	0.07183404	0.6101541	0.0166345
