 	mia	mamma	puliva	la	casa	ogni	giorno	</S>
a37	0.05872544	0.019235332	0.034652635	0.206998	0.080559105	0.18224129	0.30772012	0.1098681
a31	0.044067215	0.016275158	0.016359627	0.10637253	0.07163553	0.37574965	0.3196709	0.049869448
a21	0.011290182	0.003770869	0.0043272204	0.015669024	0.007677702	0.23447679	0.6403121	0.08247615
a28	0.0014403518	0.00023020487	0.00058396644	0.018814856	0.012000323	0.12219481	0.7729806	0.07175499
a35	0.003267969	0.001713596	0.012021167	0.083294876	0.033485774	0.08073	0.74033993	0.045146663
a24	0.010421307	0.0061105983	0.041509498	0.21010153	0.068168975	0.08014551	0.5470768	0.036465753
a46	0.028299235	0.013690105	0.04754565	0.0733378	0.03648935	0.11726535	0.61434096	0.069031544
a31	0.15702736	0.055285018	0.12851192	0.16346912	0.053097863	0.1256818	0.27448314	0.042443827
a24	0.022680674	0.005076254	0.01567076	0.17998993	0.07887757	0.16421813	0.44772053	0.085766174
a46	0.016630283	0.013516688	0.0713565	0.1491343	0.08344228	0.11625619	0.52055746	0.02910627
a20	0.018029789	0.015071956	0.15277861	0.55651623	0.12923856	0.036473095	0.08623708	0.0056546335
a31	0.008522655	0.011540268	0.11342932	0.5760478	0.13036923	0.037683103	0.110486574	0.011921005
a6	0.0023929148	0.002200727	0.013266723	0.36044195	0.21309745	0.1444377	0.24499266	0.019169897
a20	0.0025909888	0.0048055067	0.067766085	0.64148384	0.13694763	0.040909745	0.0952212	0.010275013
a31	0.0075471294	0.014866211	0.088207796	0.49860606	0.12349615	0.06166347	0.17481475	0.030798417
a45	0.0012769619	0.0014671	0.013031465	0.58148855	0.2540546	0.08959449	0.054332156	0.004754676
a20	0.004249612	0.0069311545	0.045855757	0.6436173	0.11160878	0.046702553	0.11748946	0.023545448
a31	0.0077178283	0.01593037	0.09111243	0.46143928	0.13046521	0.072875306	0.17177485	0.048684698
a46	0.0006098969	0.0006992776	0.007394368	0.66628283	0.20156896	0.06703985	0.05315343	0.0032513677
a31	0.0052286694	0.010973852	0.05910286	0.4826031	0.12925072	0.076476246	0.1846109	0.051753625
</S>	0.0005318343	0.00057404535	0.0055942293	0.66579384	0.17287868	0.07125572	0.07965503	0.0037167217
