 	puoi	non	parlare	di	questa	cosa	con	Anna	</S>
a8	0.10850686	0.007292052	0.20622407	0.23170236	0.21574041	0.0055408385	0.12594964	0.07984718	0.019196631
a28	0.30127785	0.09997196	0.14519729	0.15400964	0.15290676	0.03063109	0.040651493	0.057258043	0.018095868
a31	0.23691571	0.07624196	0.17843887	0.17824212	0.13027842	0.031994496	0.04860147	0.08526997	0.034017064
a8	0.09602395	0.039811317	0.31218758	0.22555529	0.1061949	0.037619695	0.12114001	0.041902617	0.019564735
a31	0.3276092	0.03811336	0.15380602	0.13668346	0.105327435	0.025764367	0.059998143	0.1178402	0.034857742
a28	0.105183706	0.028718915	0.3193982	0.2331396	0.098704524	0.031259395	0.13374439	0.03696467	0.012886664
a10	0.43171492	0.01874339	0.12505601	0.11693932	0.10128524	0.0054964256	0.026403697	0.15316756	0.021193368
a39	0.26978752	0.021013469	0.28436142	0.1752184	0.10136406	0.004878958	0.04049527	0.08853676	0.0143441595
a31	0.15105696	0.023720002	0.37734556	0.21550757	0.098662406	0.00566257	0.057748407	0.056605212	0.013691304
a20	0.2203155	0.008841738	0.24976924	0.15988143	0.12602618	0.011340821	0.11689035	0.089420855	0.017513957
a31	0.26542658	0.010810128	0.20167649	0.23070394	0.20154822	0.0006306749	0.013576659	0.06980212	0.005825232
a18	0.17121245	0.003485463	0.24366684	0.17379011	0.1604686	0.004465764	0.12029046	0.10489429	0.017726032
a41	0.27566755	0.0061721024	0.18421091	0.20864806	0.19106874	0.00051141833	0.012863176	0.115304165	0.0055538495
a7	0.1243146	0.013466369	0.29149187	0.3421086	0.18498053	0.00079509674	0.017666534	0.023165483	0.002010886
a38	0.14468926	0.014307738	0.27494538	0.33170372	0.19123405	0.00064372906	0.011944209	0.028220223	0.0023116227
a10	0.13445592	0.014729967	0.26554075	0.34857455	0.19695947	0.0006730387	0.011879681	0.025247043	0.0019396625
a31	0.17769985	0.01101947	0.2558823	0.30160153	0.20126672	0.0005548049	0.011200421	0.03793313	0.0028417283
a46	0.11275629	0.005084886	0.29265282	0.23095416	0.17163742	0.0050472887	0.111294046	0.060470067	0.010103077
a31	0.21633929	0.009330172	0.19378312	0.27293903	0.24609591	0.0005863625	0.011381726	0.046640158	0.0029042598
a24	0.11488827	0.0036005948	0.2851961	0.2193998	0.19049062	0.004053237	0.11392791	0.06037633	0.008067146
a28	0.24480201	0.006913133	0.18610124	0.23586066	0.23579971	0.0005933031	0.011750666	0.0743428	0.0038364807
a24	0.2196652	0.008635865	0.1962252	0.26800182	0.2287144	0.00076968485	0.01679535	0.05754697	0.003645516
a15	0.17697348	0.006772851	0.25132728	0.2824733	0.20267452	0.00057553913	0.013168008	0.062865414	0.0031695992
a24	0.21367995	0.008936563	0.19891697	0.27146146	0.22414492	0.0008591954	0.016836667	0.06188332	0.0032809032
a21	0.20869899	0.006090221	0.21675208	0.25018227	0.21661209	0.0005576465	0.011919853	0.08569192	0.0034949898
a31	0.24114963	0.0075678597	0.18815999	0.21718898	0.1992316	0.0012857498	0.025316142	0.11373419	0.0063658464
a20	0.16171584	0.001928982	0.20078757	0.17664942	0.26222897	0.0014393141	0.05590335	0.13172077	0.007625784
a31	0.25968271	0.0058860807	0.13513947	0.14498442	0.19041173	0.0018127114	0.039422825	0.20933042	0.013329689
a8	0.16094016	0.0019200527	0.17486991	0.16380934	0.2976828	0.00082101696	0.03761768	0.1566019	0.0057371706
a31	0.20494165	0.0030780558	0.11820037	0.12754895	0.19279264	0.0016445685	0.04669562	0.29193464	0.013163617
a20	0.18437116	0.0019017211	0.12980224	0.13329686	0.28729612	0.00046161236	0.02590442	0.23121575	0.0057501714
a31	0.17898832	0.0047731227	0.12571277	0.1086844	0.12833571	0.0030520537	0.054566085	0.37434617	0.02154124
a20	0.19031033	0.002407219	0.12622258	0.13383244	0.29164824	0.00044786482	0.02094924	0.2293396	0.0048424974
a31	0.15445393	0.0048588086	0.14162807	0.11377002	0.12604803	0.004010542	0.05207637	0.37816036	0.024993872
a8	0.2043269	0.0029261864	0.11615089	0.12576135	0.28795803	0.00045338742	0.018480454	0.23929396	0.0046488075
a31	0.12802254	0.0030057575	0.13149421	0.10972172	0.170832	0.0021512012	0.042461976	0.39492008	0.017390525
a49	0.253007	0.0029929	0.09056007	0.10052724	0.2492884	0.0003704583	0.015738713	0.2824378	0.00507745
a18	0.14548571	0.0034431505	0.08954379	0.077549726	0.16556272	0.0026173883	0.03452482	0.4592468	0.02202588
a35	0.10661258	0.004594931	0.1789649	0.12986958	0.15335397	0.004731079	0.056289993	0.33887944	0.026703559
a17	0.09152309	0.0062759863	0.24008505	0.18106115	0.1560592	0.0057631796	0.078000516	0.22265306	0.01857878
a8	0.09450485	0.0061330553	0.220405	0.19244076	0.18692556	0.0054386584	0.0809799	0.19856894	0.014603302
a20	0.10374605	0.0054000737	0.19339652	0.17854126	0.1964011	0.0052359854	0.08441845	0.21842073	0.014439809
a31	0.11064872	0.010600793	0.25463885	0.17663921	0.12506944	0.00872398	0.091881424	0.20142734	0.02037032
a20	0.18853217	0.0035501374	0.11045997	0.12793326	0.31769767	0.00060034165	0.01688511	0.22966869	0.0046725995
a37	0.115983695	0.00932566	0.22663642	0.15807728	0.119208716	0.008652907	0.08986957	0.24837631	0.023869395
a24	0.09046325	0.009712946	0.2692052	0.19989377	0.14338537	0.008450524	0.09332562	0.1676186	0.01794472
a13	0.08187456	0.010022017	0.2523377	0.22864719	0.17216957	0.0061376165	0.0591617	0.17015097	0.019498665
a31	0.087638326	0.014737226	0.27955124	0.20865785	0.13042767	0.00936196	0.07726642	0.167379	0.024980398
a0	0.15127575	0.0046523158	0.14336614	0.16405582	0.3410747	0.00088399975	0.015679406	0.1741682	0.0048436467
a31	0.09950989	0.009593386	0.24829315	0.18220311	0.13786642	0.008721367	0.0868125	0.20514251	0.021857705
a8	0.20257607	0.0032390489	0.09654352	0.113254905	0.30211708	0.0005611745	0.016452186	0.2601658	0.005090236
a31	0.100337796	0.0050812336	0.19393528	0.15694481	0.15020935	0.0056819445	0.090010464	0.2783197	0.019479418
</S>	0.24093431	0.0022349365	0.06728776	0.0800442	0.24106215	0.00035049356	0.013785945	0.34867612	0.0056240605
