 	avete	cucinato	le	verdure	</S>
a31	0.49940312	0.22942986	0.061275244	0.17755766	0.032334033
a46	0.79458845	0.16487046	0.017640471	0.016501788	0.0063988212
a20	0.80846137	0.13047478	0.009651514	0.034280807	0.017131606
a31	0.8566788	0.06816627	0.0074229143	0.04446854	0.023263548
a17	0.2514596	0.09508925	0.036338117	0.5484218	0.068691164
a31	0.6464733	0.18879291	0.026634041	0.06987933	0.06822043
a35	0.17383605	0.17297521	0.077813916	0.39646092	0.17891388
a31	0.4073041	0.2842304	0.05934477	0.1012317	0.147889
a46	0.13449505	0.2702622	0.09297809	0.2518611	0.25040352
a38	0.09943789	0.110135175	0.056749992	0.5164025	0.21727447
a17	0.020752449	0.029561495	0.040815234	0.783836	0.12503482
</S>	0.011564292	0.015619351	0.036677074	0.8912124	0.04492685
