 	venne	scritto	</S>
a31	0.5685198	0.4279609	0.0035193302
a28	0.67719704	0.31690165	0.0059012626
a8	0.59033453	0.39785025	0.0118152
a31	0.3520077	0.63365614	0.014336203
a20	0.22962163	0.7652004	0.0051779947
a31	0.43801916	0.49754053	0.064440385
a13	0.19624226	0.7761406	0.027617104
a29	0.19679916	0.6628257	0.14037515
a39	0.15049633	0.78116184	0.0683419
a31	0.12531225	0.81675166	0.05793611
a35	0.14832516	0.7943731	0.05730167
a31	0.09670939	0.8674027	0.035887856
</S>	0.189293	0.75602955	0.054677498
