 	Valeria	legge	il	giornale	</S>
a31	0.29961616	0.23077418	0.09043186	0.36717865	0.011999182
a39	0.09794909	0.18377027	0.122082606	0.5705474	0.02565066
a8	0.094240464	0.10052714	0.027748201	0.7605629	0.016921319
a31	0.103769176	0.11692377	0.029096164	0.72263604	0.027574828
a11	0.15860635	0.1372306	0.05557991	0.6357006	0.012882528
a13	0.33574593	0.16488172	0.03328877	0.43363103	0.03245254
a31	0.6070406	0.18622304	0.034912165	0.15670578	0.015118399
a18	0.31122074	0.22260575	0.08572445	0.3617399	0.018709179
a37	0.50776684	0.17297369	0.057538167	0.22594182	0.035779443
a11	0.68775845	0.16802768	0.039276432	0.09335	0.01158746
a41	0.7390915	0.15166655	0.03623535	0.06405808	0.008948587
a14	0.74315184	0.15374142	0.039264303	0.055673994	0.008168521
a31	0.71627086	0.15594064	0.049138237	0.06625446	0.012395759
a35	0.2572788	0.13507868	0.118054695	0.43255776	0.05703011
a31	0.45280993	0.20905544	0.12680592	0.16294928	0.04837945
a41	0.17946832	0.096924394	0.12624139	0.5317463	0.06561958
a31	0.16927022	0.1818886	0.19710802	0.33652416	0.11520896
a35	0.123072	0.06567569	0.09871898	0.65891814	0.05361511
a31	0.06237549	0.06958416	0.123017356	0.6203141	0.12470885
a8	0.18209432	0.08514599	0.07396195	0.6353099	0.02348784
a20	0.11769902	0.06645994	0.052151475	0.7112308	0.052458774
a31	0.105709955	0.08148853	0.09101702	0.63436633	0.08741818
a37	0.21262613	0.10798081	0.05474732	0.6145749	0.010070903
</S>	0.08492434	0.058431912	0.03737353	0.77254206	0.046728145
