 	Marika	tu	hai	mangiato	</S>
a8	0.11202389	0.49128467	0.37117156	0.024085006	0.0014348311
a31	0.4556862	0.16889971	0.37000278	0.003082452	0.0023288406
a24	0.29011956	0.4986033	0.18211238	0.027583981	0.0015808275
a31	0.07689222	0.111558735	0.8074317	0.0032891268	0.00082811597
a28	0.10332357	0.46515635	0.385125	0.045001697	0.0013934968
a31	0.06309859	0.18894061	0.7403215	0.005960754	0.0016785212
a3	0.02569463	0.3123269	0.6217582	0.03625547	0.0039648255
a18	0.036038015	0.17345525	0.7864386	0.0028785483	0.001189616
a31	0.029537156	0.14219536	0.82043785	0.00612672	0.0017028886
a23	0.028450135	0.255341	0.712041	0.0039920365	0.00017583495
a31	0.020657696	0.08538493	0.86664355	0.024127169	0.003186644
a20	0.041571215	0.14086817	0.80669296	0.010098742	0.0007689714
</S>	0.027338568	0.11465942	0.69063365	0.15225118	0.015117183
