 	ho	rotto	una	bottiglia	</S>
a31	0.12587355	0.0046483385	0.0002514751	0.7731621	0.09606456
a21	0.007949158	0.0027472551	1.7303453e-05	0.95251	0.03677628
a31	0.004132006	0.0019929786	9.3699255e-06	0.94622797	0.047637716
a35	0.012692378	0.00085815304	2.2579068e-05	0.94675475	0.039672103
a31	0.00080016936	0.00091123744	7.997695e-06	0.97711325	0.021167407
a24	0.00953564	0.0031364546	0.00013927027	0.91288143	0.07430717
a37	0.00015588193	0.00045518117	6.7814126e-06	0.98156595	0.017816238
a31	9.988584e-05	0.00018611013	7.764735e-06	0.98428184	0.015424321
a33	0.0039544133	0.000599437	4.2721244e-05	0.9791683	0.016235156
a31	0.0012568168	0.0011444909	0.00020057765	0.9832296	0.014168567
</S>	0.031137843	0.0057716602	0.0010722149	0.92033535	0.041682936
