 	non	aveva	da	stare	</S>
a37	0.0017875483	0.59918416	0.0046913223	0.37711516	0.01722178
a38	0.29643595	0.30468595	0.0044750925	0.36232996	0.03207299
a24	0.023935113	0.30785647	0.0027540252	0.6407473	0.024707068
a8	0.004068409	0.18952264	0.0015619571	0.7666119	0.038235173
a17	0.00620429	0.36792243	0.0020655696	0.5789297	0.04487796
a31	0.007799594	0.6295617	0.0040997546	0.32342994	0.035109017
a20	0.002067214	0.34255564	0.0011236301	0.6163771	0.037876416
a8	0.010822346	0.4558412	0.008222441	0.43361378	0.09150023
a31	0.0039601987	0.5727898	0.002255999	0.3862387	0.03475533
a20	0.012674934	0.27201933	0.00091912766	0.703135	0.01125158
a31	0.0008358492	0.1366979	0.0011098121	0.8216512	0.03970514
a8	0.018765688	0.10024989	0.0020464028	0.86888677	0.010051195
a31	0.0026640072	0.180209	0.0017271774	0.796348	0.019051796
</S>	0.010198517	0.074205115	0.0024882404	0.8998598	0.013248353
