 	l'	ho	sentito	che	viene	</S>
a34	0.0041292193	0.027116314	0.11194471	0.13106011	0.69407403	0.031675648
a46	0.096124955	0.018576173	0.03249469	0.056211505	0.49593	0.3006628
a41	0.011563884	0.0067322687	0.036117792	0.04916205	0.7700402	0.12638372
a19	0.0037325649	0.00643112	0.08968003	0.07205093	0.72098875	0.10711662
a31	0.003913133	0.0147121465	0.1664812	0.09662831	0.6274166	0.09084863
a20	0.0010572599	0.0041066846	0.13232826	0.14017402	0.69004893	0.032284822
a31	0.016242085	0.029349238	0.1712054	0.12092868	0.58180666	0.08046792
a24	0.0008077112	0.001965493	0.13142301	0.07402838	0.7641786	0.027596883
a31	0.0017235753	0.010639395	0.16754898	0.09839513	0.6219309	0.099761955
a23	0.0029202492	0.0019670257	0.11816326	0.07390505	0.76794314	0.035101183
a20	0.0019506884	0.0058479006	0.21458624	0.16608258	0.50646013	0.10507248
</S>	0.001435997	0.012543158	0.38458532	0.2679171	0.30067113	0.032847315
