 	l'	ho	sentito	che	veniva	</S>
a41	0.019536367	0.08580048	0.20063399	0.23167941	0.4374929	0.024856815
a31	0.047747936	0.010911079	0.036991153	0.06908307	0.5559487	0.2793181
a24	0.009188419	0.009971262	0.05992842	0.07166686	0.7829527	0.06629231
a15	0.00072448514	0.0031214354	0.06137836	0.060671307	0.5988363	0.27526808
a28	0.0033135659	0.01027981	0.08746221	0.074690044	0.57302153	0.25123286
a0	0.0055020736	0.041709453	0.10771929	0.07109614	0.3750259	0.3989471
a31	0.0047825696	0.050318446	0.11808896	0.073845565	0.32637313	0.42659134
a11	0.0012588764	0.010397291	0.23139447	0.14134207	0.43467516	0.18093209
a31	0.0014950715	0.026991997	0.21507962	0.14179927	0.25511897	0.3595151
a39	0.0063682855	0.006048818	0.14437355	0.08725099	0.33613423	0.41982415
a20	0.002503672	0.019582702	0.30998787	0.24930412	0.23555739	0.1830643
</S>	0.0025459968	0.042981517	0.46945694	0.3153797	0.11815004	0.05148577
