 	sono	vestita	</S>
a31	0.24773203	0.74014264	0.012125374
a20	0.5430878	0.44367668	0.01323557
a31	0.34400043	0.6103402	0.045659382
a41	0.18729822	0.7978469	0.014854921
a46	0.080381215	0.8060341	0.11358473
a18	0.04993291	0.814668	0.1353991
a24	0.054287266	0.8529455	0.09276723
a31	0.037548825	0.8937262	0.06872499
a11	0.027404783	0.88703036	0.08556487
a0	0.02450821	0.916681	0.05881084
a15	0.027671501	0.932584	0.03974451
a8	0.033085503	0.92360896	0.043305527
a39	0.03806935	0.92525774	0.036672823
</S>	0.032110233	0.93352014	0.034369756
