 	non	aveva	cosa	a	fare	</S>
a31	0.0016195053	0.6281065	0.005805568	0.16842385	0.14248352	0.053561058
a18	0.12819067	0.7507196	0.0028315734	0.042829126	0.025231794	0.05019727
a24	0.06285758	0.6621228	0.0022393526	0.081906565	0.060193554	0.13068013
a20	0.014485149	0.50530744	0.0018507056	0.21555409	0.10230671	0.16049592
a31	0.07104698	0.73302305	0.0019244436	0.07167276	0.07566297	0.046669737
a18	0.0040441416	0.3357951	0.0017120421	0.23978016	0.3400198	0.078648746
a31	0.024857458	0.713518	0.0023540615	0.09952941	0.0889271	0.07081399
a17	0.002500837	0.5274912	0.001484062	0.22069673	0.16163975	0.08618747
a20	0.0045566903	0.6320082	0.0009798798	0.12799637	0.1537894	0.08066946
a31	0.0012544107	0.18718854	0.0017611486	0.18578352	0.56313074	0.060881663
</S>	0.018305702	0.50224745	0.001127236	0.20441246	0.21510711	0.05880004
