 	non	deve	magniare	la	sera	</S>
a20	0.033693504	0.14441569	0.008839972	0.106248245	0.6162938	0.09050875
a31	0.22062075	0.2096393	0.0005700257	0.19507042	0.33903006	0.03506947
a18	0.025553947	0.035706487	0.0004609141	0.07654583	0.8350261	0.026706636
a37	0.0035926786	0.040123623	0.0004947328	0.27827737	0.61320955	0.064302
a18	0.005939881	0.05632271	0.0006557787	0.3838456	0.4425475	0.1106886
a31	0.013675865	0.08448656	0.00180955	0.3737747	0.4027144	0.1235389
a13	0.004436799	0.015944982	0.0003564947	0.21192254	0.6792152	0.08812399
a31	0.0037296338	0.020666894	0.00088077504	0.20684512	0.70230925	0.06556829
a17	0.046711843	0.023249505	0.0051312144	0.24274987	0.6478241	0.034333467
</S>	0.010502624	0.01289896	0.0031055144	0.19763587	0.7353056	0.040551413
