 	questo	muro	vuole	uno	specchio	</S>
a31	0.83879817	0.100324996	0.00012074096	0.006733501	0.051274627	0.0027480202
a24	0.18343917	0.08360195	0.00025164115	0.13510254	0.5558298	0.041774873
a31	0.22308148	0.033268046	6.1820094e-05	0.09971138	0.57488304	0.068994224
a41	0.59146917	0.13150254	0.00024228502	0.057488665	0.19969864	0.019598791
a39	0.54998547	0.018780706	1.8513823e-05	0.025001485	0.3845368	0.02167703
a43	0.7230863	0.034189273	3.5945402e-05	0.014965873	0.21649393	0.011228628
a24	0.77794147	0.059981138	8.2111204e-05	0.01326359	0.14093834	0.007793419
a37	0.67173743	0.14765784	0.00055022974	0.01655882	0.15307909	0.010416741
a20	0.84327966	0.11875728	0.00024377472	0.003554327	0.032416943	0.0017479716
a41	0.91458416	0.05682168	0.00016299047	0.0022989102	0.024955766	0.0011765559
a18	0.9403753	0.043649826	0.00014668862	0.0015343294	0.013542908	0.0007508398
a31	0.9709645	0.018635016	0.00013251463	0.00088975154	0.008766906	0.00061141496
a11	0.9470121	0.0074138134	2.349312e-05	0.00905493	0.032637816	0.0038578443
a31	0.97700137	0.010865726	0.00023725638	0.0012538222	0.009168328	0.0014735715
a29	0.95525163	0.0033408124	1.3175589e-05	0.011745672	0.025273066	0.004375605
a7	0.97563726	0.00797957	0.00021867442	0.002372533	0.010930954	0.002861113
a31	0.9493111	0.014282078	0.0006294658	0.0067315428	0.022092585	0.0069533396
a37	0.9342919	0.0035604637	1.926513e-05	0.022160595	0.032544304	0.00742345
a31	0.9532939	0.016320387	0.000672302	0.0069824327	0.0164801	0.006250855
a20	0.958106	0.003496862	2.0816593e-05	0.013500517	0.020939061	0.0039367643
</S>	0.9177631	0.022256449	0.000782862	0.013710991	0.033438142	0.0120484475
