 	non	aveva	dove	a	stare	</S>
a31	9.734165e-05	0.021992397	0.17195086	0.09193584	0.68566316	0.028360356
a8	0.01722227	0.14609493	0.30632672	0.09083408	0.41048178	0.029040236
a31	0.0020864436	0.029861012	0.20900972	0.048345294	0.6736327	0.037064746
a28	0.0017801977	0.027187029	0.20168465	0.19524974	0.54945505	0.024643352
a37	0.00040694827	0.01022003	0.17425056	0.03673625	0.7571704	0.021215843
a31	0.0007718335	0.028384004	0.23602991	0.04997176	0.6700235	0.01481897
a18	0.000109543544	0.009257872	0.24972832	0.16806948	0.5570542	0.0157805
a0	0.00031963293	0.019582482	0.20797099	0.03665828	0.7170351	0.018433513
a23	0.00055421743	0.03180486	0.19364887	0.053178266	0.70237374	0.018440075
a8	0.0006330654	0.040382	0.18172956	0.123701535	0.6326895	0.020864401
a31	0.00027671963	0.024451569	0.17264915	0.12001728	0.6710908	0.011514552
a20	0.00060165726	0.0038498393	0.10631278	0.015487422	0.87088513	0.0028631561
a31	0.0003894523	0.030470781	0.19630472	0.23787166	0.5066361	0.028327312
a20	0.0028634255	0.006028943	0.11401342	0.042143192	0.8279081	0.0070429007
a24	0.0008943474	0.018041134	0.22181511	0.31016374	0.42378458	0.025301037
a8	0.00073582336	0.02007486	0.212253	0.25269032	0.49540713	0.01883892
a31	0.00042300997	0.017358165	0.20209621	0.20971741	0.5486946	0.02171057
</S>	0.001707163	0.0053934334	0.120389916	0.081517845	0.7772717	0.013719934
