 	lo	sentii	che	arrivò	</S>
a11	0.44760638	0.055473253	0.20386872	0.27862573	0.014425972
a31	0.8109011	0.07502152	0.03939327	0.059968125	0.014716128
a28	0.7916604	0.05687984	0.042610317	0.09905419	0.0097952895
a37	0.7611783	0.023457522	0.036132455	0.12570427	0.05352747
a20	0.6463045	0.022672892	0.064511225	0.17720911	0.089302346
a31	0.77006763	0.027943466	0.08632758	0.06810406	0.047557145
a1	0.34032243	0.023629064	0.13878813	0.46413824	0.033122122
a0	0.5724016	0.033681512	0.14495522	0.10905221	0.1399095
a17	0.75325847	0.051868573	0.114952244	0.038507294	0.041413415
a31	0.69296575	0.058510877	0.1688635	0.042463142	0.037196696
a0	0.067407995	0.013635771	0.31654254	0.45056748	0.1518462
a46	0.27280894	0.08569308	0.32234886	0.1601371	0.15901195
a31	0.21363118	0.079628825	0.40439674	0.21920006	0.08314321
a18	0.04804242	0.010938954	0.31544295	0.44530055	0.18027513
a31	0.116997376	0.086966336	0.34790632	0.314964	0.13316594
a39	0.08781134	0.017655356	0.28647372	0.5052701	0.10278943
a31	0.06430199	0.04869303	0.34929612	0.44781396	0.08989485
a46	0.090136014	0.020275198	0.19956674	0.64038783	0.049634226
</S>	0.049008027	0.030960396	0.17032109	0.6934013	0.056309268
