 	volevo	Maria	domani	di	venire	da	me	</S>
a20	0.5495982	1.760774e-05	0.0060733412	0.009507994	0.4202165	0.011944432	0.002352024	0.00028988134
a24	0.74863386	0.00027690514	0.044433508	0.019392194	0.14263232	0.0063730525	0.033514693	0.004743389
a31	0.19000803	9.4445546e-05	0.041747343	0.049041137	0.4268532	0.03439675	0.22967261	0.028186528
a17	0.5096312	9.286292e-05	0.009125546	0.016996456	0.4119153	0.015043013	0.03323495	0.003960663
a31	0.17523693	2.1527525e-05	0.024838112	0.034302365	0.62050414	0.022135466	0.10961937	0.013341962
a37	0.14294025	1.9670879e-05	0.0046271584	0.012700409	0.82673645	0.0068932623	0.005365254	0.0007174906
a10	0.44743007	1.8528408e-05	0.01859491	0.020117491	0.46783605	0.009048299	0.033673722	0.0032809002
a31	0.7935744	2.1715046e-05	0.01006909	0.009623101	0.17732605	0.0031372125	0.005668789	0.0005796749
a20	0.22630382	1.2072632e-05	0.0066117155	0.018393405	0.7311819	0.011855899	0.0048871366	0.0007539673
a33	0.88278407	1.4980208e-05	0.015166218	0.005710694	0.08989129	0.0017774539	0.0038508992	0.0008044684
a20	0.89635324	1.3374901e-05	0.004175633	0.0037736422	0.09322167	0.0010906474	0.0011788977	0.00019290803
a31	0.98128295	1.1284252e-05	0.0024882052	0.0010334811	0.013392543	0.00061260676	0.0008751351	0.00030379757
a5	0.31483892	1.5001076e-05	0.012531521	0.012966964	0.6492804	0.0070418017	0.0028504017	0.0004749566
a17	0.83910507	4.9915663e-05	0.024367686	0.011897539	0.077661574	0.012999783	0.022381928	0.011536518
a11	0.9200975	1.8468581e-05	0.009543401	0.0039886944	0.056803342	0.0043354835	0.003812976	0.0014001373
a10	0.67115325	7.857793e-05	0.027415674	0.020589678	0.21949995	0.025856648	0.025255525	0.010150704
a31	0.37241572	6.9490554e-05	0.04793598	0.032854877	0.4785322	0.039766133	0.022758367	0.0056672236
a24	0.46158132	0.00014262248	0.05925846	0.019049352	0.43724966	0.009432121	0.012158383	0.0011280043
a46	0.6342272	9.749363e-05	0.028931066	0.019680742	0.26994202	0.02328062	0.019202612	0.004638229
a20	0.31613505	0.00012162805	0.030426681	0.033235848	0.55877644	0.03572579	0.020725768	0.004852859
a31	0.34048095	0.00018954992	0.029691953	0.03451686	0.5070769	0.035553936	0.04132938	0.011160422
a20	0.47510955	0.00019537352	0.015126015	0.008720688	0.4900071	0.0050043506	0.0054338085	0.00040304477
a31	0.28972897	0.00025056125	0.024224281	0.035677373	0.5792841	0.032436483	0.030539883	0.007858407
</S>	0.3937042	0.00028327265	0.009010233	0.006169102	0.58388704	0.0035959543	0.0031006632	0.00024952085
