 	è	facile	che	stanno	ancora	svegli	</S>
a31	0.040564213	0.001025223	0.111646794	0.42174923	0.09072879	0.3213564	0.012929381
a39	0.08861693	0.000307651	0.008083805	0.099281944	0.1362039	0.65697	0.010535716
a31	0.034608506	8.6420165e-05	0.0031397277	0.12333111	0.13936958	0.6846766	0.014788005
a0	0.073846735	0.0005260995	0.0053810943	0.11213132	0.07754091	0.7237592	0.0068146843
a31	0.013390243	6.4041116e-05	0.0057753823	0.14077657	0.12386271	0.6786214	0.037509605
a13	0.037744615	0.0007176001	0.034048256	0.4125357	0.08803914	0.4142969	0.01261773
a31	0.0059637493	5.004809e-05	0.010107466	0.23632073	0.16568838	0.53829634	0.04357321
a37	0.014285412	0.00043662722	0.025146324	0.53161305	0.10139024	0.31722823	0.0099001145
a31	0.0028603626	8.04607e-05	0.006509587	0.47260055	0.22542997	0.26711032	0.025408756
a11	0.006097384	0.00050192536	0.01663726	0.6959707	0.11556791	0.15928344	0.005941377
a39	0.0041379337	0.00018700489	0.011431947	0.65477335	0.20489143	0.1114364	0.013141932
a0	0.005932619	0.00032986666	0.013447929	0.7137423	0.15613385	0.10125912	0.009154233
a41	0.006682991	0.0004310933	0.017664284	0.71480715	0.14040767	0.11044444	0.009562344
a0	0.007850661	0.00069655787	0.022642145	0.6466936	0.14267413	0.16508432	0.014358588
a20	0.010632993	0.0012923544	0.038536876	0.5805026	0.14874765	0.2015769	0.01871067
a31	0.012112913	0.0027023994	0.09930296	0.4559945	0.16565362	0.2333661	0.030867478
a30	0.016488349	0.0029422462	0.056141466	0.8548522	0.03864525	0.029193759	0.0017367854
a41	0.010220236	0.0028915303	0.024952559	0.46139684	0.1776691	0.3016366	0.02123308
a31	0.0155384	0.006510502	0.07174387	0.46763277	0.16103393	0.25351328	0.024027223
</S>	0.029044446	0.015455324	0.039030645	0.48971647	0.16157693	0.24539684	0.019779371
