 	ho	cosa	a	fare	</S>
a23	0.78548294	0.0021276926	0.09344878	0.09412199	0.024818601
a17	0.97961843	0.0017754751	0.0064581116	0.005543346	0.006604546
a31	0.9415756	0.0009978226	0.020437352	0.01791337	0.019075807
a8	0.89328796	0.0012741102	0.018190052	0.076098576	0.011149361
a31	0.780175	0.0012287548	0.05082518	0.12559329	0.042177867
a13	0.46732062	0.0021346633	0.09003641	0.33354625	0.10696203
a24	0.59840673	0.0018986302	0.09212813	0.25364566	0.053920873
a31	0.7888912	0.0010804438	0.07685844	0.09553698	0.03763293
a13	0.48462608	0.00082157046	0.17654954	0.17658313	0.16141967
a31	0.66572905	0.0012358532	0.106822394	0.13221802	0.0939946
a18	0.340369	0.0009765805	0.33626708	0.12126998	0.20111746
a0	0.03999252	0.0009597636	0.24734378	0.5247611	0.1869429
a39	0.015786605	0.0008888552	0.13161641	0.80693555	0.044772625
</S>	0.009815787	0.0011353445	0.18592156	0.75131744	0.051809862
