 	se	vuoi	vivere	non	essere	grasso	bisogna	mangiare	poco	</S>
a31	0.03459526	0.86788166	0.072336055	0.021135056	1.1084638e-05	2.9274399e-05	0.0015583426	0.0022616133	0.00011832536	7.335374e-05
a20	0.072073124	0.32925227	0.34882995	0.1478511	0.000121934296	0.0001587902	0.008435959	0.07923701	0.009046252	0.0049935877
a31	0.09007968	0.39246252	0.29488453	0.14742532	8.7969194e-05	2.3307715e-05	0.0018322828	0.062281158	0.008143349	0.002779895
a28	0.04864053	0.41979235	0.35784188	0.122300595	3.0253666e-05	2.6216445e-05	0.002994852	0.042513035	0.003581027	0.0022791792
a37	0.04597487	0.5113812	0.28913796	0.07430133	4.7363137e-05	1.9539326e-05	0.0032875263	0.068134725	0.0057209306	0.0019945255
a24	0.020598283	0.6436933	0.2847649	0.036595114	1.18116495e-05	5.8570963e-06	0.0011054678	0.011949782	0.00093620474	0.00033929618
a31	0.019887531	0.74829704	0.19443983	0.025080772	9.250104e-06	6.776756e-06	0.0014465603	0.009350217	0.0009962659	0.00048583446
a20	0.0427081	0.7196677	0.15538514	0.059982628	3.9362913e-05	4.6713598e-05	0.012352294	0.008547735	0.00075832696	0.000512046
a1	0.004656357	0.91526973	0.07021468	0.006599164	1.1577305e-05	4.6094133e-06	0.00036875234	0.0021103052	0.00056965306	0.00019515306
a31	0.0037559657	0.89727587	0.09242848	0.005907583	4.6209097e-06	1.2588367e-06	7.7058736e-05	0.00040857517	0.00010402785	3.6568337e-05
a28	0.019713597	0.848344	0.09970938	0.025244124	1.9906465e-05	2.047211e-05	0.0037138958	0.0027399545	0.00031638608	0.00017828382
a24	0.0025592186	0.9404771	0.049330816	0.005086928	1.0970084e-05	3.9515094e-06	0.00028280917	0.0014867721	0.0005570155	0.00020440463
a28	0.002895571	0.92887914	0.062002894	0.004464125	7.0413626e-06	3.1356064e-06	0.00020696949	0.0010810273	0.00034241294	0.000117683296
a24	0.0014825996	0.9473895	0.04664566	0.0037439705	4.168855e-06	1.0542959e-06	8.499262e-05	0.0004145502	0.00016642272	6.722816e-05
a46	0.002039864	0.9448135	0.049291562	0.003281455	3.9929855e-06	1.2964426e-06	6.96679e-05	0.00033309043	0.00012113239	4.438534e-05
a14	0.0011778666	0.95710087	0.038937755	0.0026889953	1.2524742e-06	2.0575334e-07	1.3133273e-05	4.9733684e-05	2.0683323e-05	9.488065e-06
a31	0.00086198165	0.9688975	0.028357042	0.0018359012	7.697778e-07	1.2663325e-07	8.269288e-06	2.1701442e-05	1.0430754e-05	6.324497e-06
a11	0.0060003866	0.93005854	0.05163132	0.009910061	1.2557178e-05	7.843675e-06	0.0012427819	0.0009017462	0.00016848957	6.635896e-05
a31	0.00044251417	0.9842849	0.013257056	0.0016435877	1.1528774e-06	3.285989e-07	4.8522797e-05	0.00017109484	0.000101723526	4.902604e-05
a47	0.0038272983	0.9540738	0.03336943	0.0070573827	1.15189805e-05	4.605464e-06	0.00085466966	0.000634137	0.00012739674	3.9775197e-05
a31	0.0005822281	0.9888204	0.006342059	0.0018202935	2.5998156e-06	8.6170047e-07	0.00030601578	0.0012668328	0.00064167	0.00021716124
a24	0.0033283948	0.9667144	0.022955995	0.005336774	1.6038792e-05	3.4790478e-06	0.0007836747	0.00072612555	0.0001104412	2.4764517e-05
a1	0.00065060274	0.9861041	0.009491576	0.0018059472	2.870907e-06	5.4677383e-07	0.00020408303	0.0010883841	0.0005132541	0.00013852344
a20	0.0006137783	0.9825915	0.011974204	0.002161423	3.2289079e-06	5.7596395e-07	0.0003029107	0.0014994144	0.0006623144	0.00019062079
a31	0.00072065135	0.9823935	0.011305629	0.0024685499	4.0076925e-06	9.038458e-07	0.00043017388	0.001794175	0.00067299634	0.00020937268
a20	0.002918857	0.9768372	0.015499101	0.0040792185	2.2493106e-05	2.0330608e-06	0.00026878613	0.00031284406	5.0948234e-05	8.548851e-06
a37	0.0013237147	0.97524184	0.014520483	0.0037887127	9.08952e-06	2.134229e-06	0.0008484015	0.0029998666	0.00095587235	0.0003099501
a24	0.0012067889	0.9744769	0.015575379	0.00322685	1.028477e-05	2.9711543e-06	0.0010023168	0.003335087	0.0008801335	0.00028326982
a29	0.0009801203	0.9780306	0.014930105	0.0026094809	5.8750425e-06	1.4442435e-06	0.0005834014	0.002023646	0.00063994963	0.00019531764
a20	0.0011085845	0.97188044	0.016483784	0.0030078895	1.1191828e-05	4.093845e-06	0.0014967626	0.0043416996	0.0012434825	0.00042206814
a10	0.0015217445	0.9633796	0.016381122	0.0034794237	2.2749951e-05	1.053571e-05	0.0034153631	0.008694449	0.002274041	0.0008209227
a31	0.001724432	0.9573297	0.018068386	0.0033532695	3.2367407e-05	1.7133618e-05	0.0046382262	0.011069606	0.0027476437	0.0010192504
a17	0.0035012923	0.97595584	0.015515798	0.004625493	4.7330795e-05	3.0015972e-06	0.00019736293	0.00013109358	1.8306702e-05	4.49822e-06
a20	0.0019014884	0.9695775	0.019734718	0.0036577147	2.847938e-05	8.062573e-06	0.0012822862	0.0030968136	0.00052677444	0.00018614935
a28	0.0030048075	0.9368776	0.02358731	0.0051977644	7.758599e-05	3.7404167e-05	0.008084234	0.018151725	0.0036656843	0.0013159019
a0	0.0031875183	0.9222502	0.025906464	0.005111635	9.099283e-05	5.1723822e-05	0.01112637	0.024777759	0.005481788	0.002015618
a18	0.002080222	0.96062994	0.018467829	0.0032504755	4.2970587e-05	2.0633506e-05	0.0043326616	0.008489406	0.0019569779	0.0007288282
a33	0.0023827914	0.9571728	0.017813567	0.0036317015	4.8990132e-05	2.6595675e-05	0.0059583564	0.009372818	0.0024827207	0.0011096279
a20	0.00074470614	0.9945034	0.0029993788	0.0008159504	1.0531476e-05	4.0175873e-06	0.0004193323	0.00037979105	8.636456e-05	3.6614456e-05
a31	0.0019557995	0.9791462	0.009175089	0.002905867	3.3744607e-05	2.6272608e-05	0.0028409413	0.0027708071	0.000750659	0.00039448432
a8	0.0022247788	0.9834916	0.010747795	0.0032071555	3.0558662e-05	2.682844e-06	0.00018673376	8.8823006e-05	1.5437701e-05	4.381555e-06
a23	0.0011276874	0.98930246	0.0050627333	0.0013592507	2.3762419e-05	1.0876199e-05	0.0014187965	0.0012845622	0.00027544826	0.00013454395
</S>	0.0011657281	0.9914597	0.0038042015	0.0011878101	2.0550584e-05	1.3209846e-05	0.0011614914	0.00087383884	0.0002088573	0.000104546474
