 	mi	sono	vestito	</S>
a39	0.03055602	0.2642639	0.6488742	0.056305908
a11	0.6371458	0.079272926	0.24365956	0.039921626
a13	0.16123252	0.09325573	0.6243836	0.121128105
a18	0.050683465	0.056076832	0.7251655	0.16807412
a31	0.02909367	0.056687076	0.6390745	0.27514467
a37	0.025423327	0.049908258	0.859431	0.06523737
a15	0.027262164	0.117333315	0.53753996	0.3178646
a31	0.03949043	0.2285189	0.48572114	0.2462695
a46	0.0068640946	0.02796617	0.8780224	0.08714735
a31	0.006151653	0.06042611	0.8080168	0.12540543
a20	0.06871603	0.03951599	0.8310058	0.06076218
a31	0.0098710945	0.07331466	0.82814527	0.088668965
</S>	0.052934133	0.0517002	0.83967763	0.05568806
