 	vuole	andare	a	Lecce	</S>
a20	0.0012139414	0.012636965	0.7388158	0.21277882	0.03455451
a31	0.32544085	0.12076042	0.40724364	0.120314755	0.026240341
a18	0.053732753	0.06808086	0.68118125	0.17048956	0.026515607
a46	0.019347515	0.07045534	0.73883337	0.124528475	0.0468353
a37	0.018318517	0.047964796	0.7859931	0.11104788	0.036675718
a23	0.008375745	0.028187223	0.8455675	0.08974082	0.028128728
a18	0.005176112	0.018380495	0.8184775	0.13530743	0.022658428
a38	0.002447916	0.0080141965	0.67859167	0.2810767	0.029869555
a37	0.0031501646	0.0065592425	0.6489283	0.31313264	0.028229695
a31	0.005098482	0.007813786	0.60390973	0.36055696	0.022621067
a20	0.066286325	0.03288598	0.79477346	0.09366655	0.012387652
</S>	0.0053991196	0.008414888	0.5644513	0.39557052	0.026164234
