 	non	mi	aspetti	non	vengo	</S>
a33	0.003236666	0.0016831668	0.21063137	0.016784022	0.68893844	0.07872634
a31	0.24680197	0.0053014667	0.064243115	0.008498621	0.47648382	0.1986711
a37	0.004739259	0.00037384676	0.012898002	0.0031790507	0.9052526	0.07355725
a35	0.002043331	0.000168851	0.031355888	0.0023236307	0.85784423	0.10626409
a31	0.0021011482	0.0004550344	0.07565495	0.004356008	0.844746	0.07268686
a7	0.0025932514	0.00035281252	0.11822678	0.011416582	0.80919725	0.058213297
a18	0.0031173066	0.00096545526	0.18241996	0.011575142	0.69401693	0.107905164
a24	0.004353094	0.0022003078	0.19788988	0.017816417	0.6924369	0.08530344
a31	0.0016666772	0.00045689716	0.15619546	0.010000296	0.7383133	0.093367286
a20	0.022966778	0.0024790626	0.36278144	0.0021317974	0.5871841	0.022456832
a8	0.00063401356	0.00046262745	0.11432864	0.014686178	0.79401463	0.07587392
a31	0.0037756076	0.0016979859	0.17157434	0.009278397	0.7771901	0.036483563
</S>	0.04849683	0.0069437353	0.3780986	0.007360104	0.5343561	0.02474466
