 	ha	che	sono	usciti	</S>
a31	0.002056937	0.07467003	0.09039439	0.7798837	0.05299495
a13	0.005882873	0.021883389	0.019179286	0.9232826	0.02977181
a8	0.0011705161	0.006069006	0.008927197	0.95537436	0.02845894
a24	0.001599247	0.0064698537	0.027365742	0.9265884	0.03797677
a31	0.0025831666	0.022932885	0.08838341	0.83026665	0.055833932
a0	0.0027409995	0.010789467	0.06406012	0.87752897	0.04488042
a31	0.0010519236	0.007839589	0.051526338	0.8778074	0.061774846
a8	0.046806965	0.017805636	0.027937535	0.9004589	0.006991048
a23	0.003326029	0.0018379677	0.016896173	0.95613265	0.021807214
a8	0.0023739343	0.0024563998	0.025466254	0.94458044	0.025122993
a23	0.003917133	0.004366033	0.03244923	0.93716115	0.022106495
</S>	0.0036279983	0.004845857	0.03762079	0.92713	0.026775379
