 	tu	quante	bottiglie	hai	rotto	dieci	</S>
a21	0.052481577	0.012346181	0.016031504	0.72478646	0.18821065	0.006020857	0.0001227497
a20	0.047636263	0.33696577	0.56743884	0.039740577	0.0073739234	0.00075629354	8.835068e-05
a35	0.05309012	0.27304894	0.531678	0.10287864	0.037027437	0.0022350932	4.180549e-05
a20	0.029360931	0.31422904	0.5703997	0.052569237	0.030145595	0.003241283	5.419897e-05
a38	0.04281484	0.3454755	0.505798	0.08307761	0.0222525	0.0005719978	9.551227e-06
a31	0.0912962	0.32291716	0.39958695	0.13432004	0.04893804	0.0028920223	4.9499205e-05
a18	0.11583574	0.16630726	0.23823437	0.3058313	0.16002293	0.013581443	0.00018694361
a23	0.031775787	0.33500972	0.4878013	0.112416215	0.032143913	0.0008329315	2.0119096e-05
a24	0.0852799	0.21243155	0.27983716	0.35629576	0.06514794	0.0009875715	2.010521e-05
a37	0.06364217	0.27276078	0.38503733	0.22108725	0.055873975	0.0015564073	4.2135824e-05
a20	0.06259696	0.27887613	0.38123864	0.26168147	0.015253267	0.00033139504	2.2161277e-05
a31	0.047843594	0.24817124	0.42456245	0.25587037	0.021751987	0.0015812808	0.0002189667
a20	0.015906971	0.035516612	0.06613078	0.7144991	0.16557921	0.0023442316	2.3121866e-05
a33	0.05012915	0.20025413	0.3490247	0.28346422	0.08958314	0.024179291	0.0033652526
a31	0.024684098	0.036974803	0.05924101	0.7695745	0.10351568	0.0058016814	0.00020813874
a20	0.030776277	0.04760521	0.07050986	0.7489219	0.099123135	0.002974256	8.9481066e-05
a31	0.068463415	0.06836033	0.09943597	0.574006	0.16868049	0.01989733	0.0011564913
a20	0.032995928	0.046414338	0.065113895	0.7540231	0.09538228	0.0056244778	0.000445957
a31	0.04293161	0.034759816	0.051047128	0.6512725	0.1997508	0.019218285	0.0010198166
</S>	0.034474596	0.04900106	0.06597696	0.73809	0.10357932	0.008040322	0.00083775044
