 	stava	ancora	cucinando	</S>
a8	0.004941699	0.16561858	0.79275924	0.036680486
a46	0.039787527	0.13648939	0.74454796	0.07917505
a24	0.0025703607	0.038698435	0.92469436	0.034036797
a37	0.0010124604	0.022351652	0.94112855	0.035507377
a20	0.003262672	0.076117896	0.80037045	0.120249026
a31	0.009299389	0.2541888	0.53139454	0.20511723
a37	0.005927306	0.10430877	0.82143325	0.06833067
a31	0.0056545706	0.26267654	0.52904457	0.2026243
a20	0.009943686	0.22914234	0.675329	0.08558494
a31	0.000979545	0.13828693	0.73158944	0.12914404
a6	0.19132493	0.20405658	0.56148773	0.04313075
a31	0.003753387	0.09882037	0.83695817	0.060468145
a20	0.20676452	0.1570942	0.5988578	0.037283458
a46	0.005338491	0.0993682	0.8359032	0.059390042
a31	0.01619743	0.13831532	0.7980822	0.047405064
</S>	0.049606733	0.081299	0.8295005	0.039593786
