 	devo	pulire	l'	albero	</S>
a39	0.0021350915	0.23470314	0.6441463	0.11342295	0.005592457
a31	0.63260835	0.21717893	0.12774241	0.014340112	0.008130229
a35	0.04251645	0.3853078	0.4379267	0.11119848	0.023050552
a31	0.07952743	0.30381525	0.50268406	0.06446344	0.04950984
a20	0.053038467	0.47905344	0.3657442	0.09316285	0.009001102
a31	0.026527151	0.21661505	0.6566897	0.029917551	0.070250586
a37	0.016457701	0.14306307	0.7425675	0.082125045	0.015786722
a1	0.008864011	0.1622107	0.7526754	0.0178969	0.058352955
a20	0.02170608	0.3143877	0.61372507	0.015116026	0.03506511
a31	0.038608965	0.36898085	0.48954883	0.04592744	0.05693397
a39	0.0055437475	0.16125602	0.8106387	0.017636448	0.0049250224
a10	0.0075459615	0.27721995	0.59065074	0.05131392	0.07326941
a29	0.010279763	0.45580816	0.44235346	0.055289924	0.03626863
a46	0.0095014805	0.4603687	0.44216725	0.05426647	0.033696104
a31	0.006943129	0.46769327	0.43783808	0.062059835	0.025465662
a20	0.01289167	0.1632903	0.81507283	0.0070980093	0.0016471572
a13	0.0024385264	0.3040824	0.53051275	0.10496146	0.05800493
a20	0.0035306916	0.33605254	0.5637802	0.083103545	0.013533052
a31	0.0034370988	0.3425868	0.526798	0.095887974	0.0312901
a11	0.053836882	0.15595321	0.7521201	0.034422778	0.0036670715
a17	0.0045664525	0.33447838	0.50325125	0.12120314	0.03650071
a20	0.0064733513	0.26702547	0.6090734	0.11024532	0.0071824645
</S>	0.006342772	0.33833766	0.5295376	0.108050965	0.01773098
