 	era	molto	stanco	</S>
a46	0.014302647	0.90102714	0.07770218	0.006968075
a8	0.34842443	0.6077764	0.027240647	0.01655855
a37	0.10670506	0.8367427	0.026174504	0.030377736
a31	0.042062674	0.854969	0.03327346	0.06969476
a0	0.06287804	0.85736793	0.07124005	0.0085139135
a20	0.02547978	0.8778461	0.036959123	0.059714906
a31	0.06787573	0.7971905	0.09626339	0.038670428
a39	0.0052778577	0.88299066	0.08393067	0.02780086
a41	0.019935232	0.85747725	0.05690466	0.065682955
a31	0.029636437	0.81876504	0.116892956	0.03470559
a28	0.0022626617	0.93005204	0.0472736	0.020411756
a11	0.019438587	0.6104374	0.310854	0.05927004
a20	0.008820533	0.60158616	0.35866255	0.030930763
a31	0.010425192	0.54228216	0.41320822	0.034084484
a11	0.004525741	0.80817676	0.15627131	0.031026173
</S>	0.0068446193	0.4895591	0.4848999	0.018696351
