 	la	donna	pulisce	la	casa	l'	uomo	no	</S>
a23	0.005270779	0.0010767073	0.28879988	0.26847118	0.11902299	0.0909134	0.04592777	0.15779598	0.02272133
a31	0.018876975	0.010486299	0.3284675	0.09547534	0.04801264	0.02960572	0.21271594	0.22620702	0.030152597
a24	0.004736463	0.0053001093	0.28734598	0.08691565	0.055193864	0.04685791	0.2414463	0.24869713	0.02350666
a31	0.0011361481	0.00096099847	0.27445915	0.0977708	0.06839589	0.050234515	0.258659	0.22906807	0.019315438
a35	0.0044255196	0.001874916	0.36450475	0.15454075	0.055148724	0.039972298	0.13002433	0.23852178	0.010986964
a28	0.00028935488	0.00012644679	0.26986882	0.16450328	0.083264336	0.059032783	0.2251713	0.18780449	0.009939127
a37	0.0015048605	0.00042607024	0.27304864	0.21958391	0.09289152	0.05970754	0.16842064	0.16838837	0.016028458
a39	0.012714587	0.0030533043	0.24499351	0.26335806	0.107734144	0.070131965	0.11724213	0.14379148	0.036980867
a20	0.03206298	0.010337406	0.21255599	0.24111928	0.11762954	0.081880145	0.111303635	0.13310887	0.06000219
a31	0.039920997	0.0063309455	0.28054482	0.22664072	0.092914134	0.053813178	0.121868104	0.12980385	0.048163332
a44	0.0066783056	0.005956829	0.23284782	0.29066783	0.12738594	0.097642064	0.051704865	0.14514284	0.041973505
a31	0.021078026	0.0022728886	0.3599751	0.19834946	0.072222225	0.039175298	0.14954942	0.1309398	0.026437843
a34	0.0042482414	0.0026064639	0.2671712	0.30319768	0.11528517	0.08141387	0.055940848	0.14037238	0.029764099
a31	0.005357394	0.0022234875	0.2717245	0.22721538	0.10073212	0.062378965	0.15367669	0.14880607	0.027885417
a18	0.0023669326	0.0014007486	0.2993655	0.30737123	0.1056099	0.07007816	0.049715083	0.14145623	0.022636276
a31	0.00057368237	0.00035279393	0.44801334	0.15072384	0.0398749	0.02081919	0.19642112	0.1351821	0.008038981
a18	0.000890851	0.00046402676	0.40572882	0.2804351	0.07433848	0.04203476	0.05466409	0.12938385	0.012060044
a7	0.00012053199	8.5302236e-05	0.5119382	0.074624024	0.021978045	0.011901361	0.27005297	0.105668604	0.00363094
a17	0.0001091147	0.00010877775	0.43582225	0.07199772	0.024000188	0.01536283	0.32599968	0.122751646	0.0038477904
a31	0.00026411298	0.00013862405	0.46898174	0.08794293	0.022716193	0.014024858	0.2824138	0.12039564	0.0031221705
a24	0.0009970098	0.0002696783	0.6406094	0.15665016	0.025638979	0.012568493	0.067044936	0.09288051	0.003340783
a31	0.0006114222	0.00029453269	0.46136132	0.050774883	0.018934727	0.012074215	0.36169738	0.090496674	0.003754867
a43	0.0021372028	0.00045636916	0.62668747	0.1617599	0.023237145	0.011585303	0.070537366	0.100210436	0.003388816
a39	0.0009928311	0.00075828104	0.38954577	0.06758469	0.030820396	0.02205044	0.37273777	0.10808175	0.0074280095
a31	0.0009053651	0.0006050388	0.39668804	0.07850517	0.02851761	0.020233942	0.35431927	0.114530005	0.0056955884
</S>	0.0019668927	0.00031650302	0.5768172	0.18783946	0.023522958	0.012091143	0.0679728	0.12661922	0.0028538106
