 	ora	ho	finito	di	scrivere	</S>
a23	0.43690473	0.54748625	0.0003099404	0.0043593394	0.009976924	0.00096276967
a31	0.41490912	0.1286469	0.00014732	0.009236105	0.40885422	0.03820629
a28	0.30375597	0.3935842	7.770724e-05	0.0022921925	0.2912497	0.009040297
a31	0.26038432	0.07550666	0.00011143412	0.0063757687	0.6373003	0.0203215
a41	0.41360384	0.49204224	0.00031951925	0.0026659751	0.08571775	0.005650677
a21	0.25063118	0.22666724	0.00039292595	0.034106217	0.4533186	0.03488378
a24	0.5603561	0.4000348	0.00016876339	0.0031261332	0.033979487	0.0023347489
a31	0.4639929	0.44825187	0.00011438496	0.007278875	0.07323919	0.007122822
a39	0.3778249	0.5514992	0.0002437236	0.01236717	0.052700784	0.005364211
a31	0.48004022	0.27486345	0.00039903025	0.027079564	0.19155703	0.026060777
a28	0.27185553	0.60912067	0.00041809087	0.039373796	0.06932977	0.009902111
a31	0.043671645	0.12435395	0.0002673747	0.09367362	0.61497766	0.12305572
a20	0.23968092	0.5518425	0.0006028818	0.06821746	0.13035335	0.00930291
a37	0.030346895	0.07399223	0.0003642294	0.083645314	0.73420167	0.077449664
</S>	0.07093875	0.23679909	0.00072279654	0.068826035	0.5698926	0.05282075
