 	non	ho	cosa	a	fare	</S>
a8	0.0034348764	0.43128514	0.00912907	0.24597485	0.23134331	0.078832746
a31	0.53070956	0.3111819	0.004549614	0.036854375	0.039022475	0.07768204
a37	0.07479302	0.46818554	0.0058972468	0.120671526	0.21661453	0.11383803
a10	0.032289468	0.25453487	0.0045023817	0.23370652	0.2819976	0.19296916
a37	0.015184408	0.16723143	0.0069390964	0.21617718	0.46447417	0.12999375
a10	0.018100282	0.34635195	0.009915616	0.15917979	0.3898077	0.07664463
a0	0.018259443	0.32200813	0.00687113	0.14883	0.44412348	0.05990786
a20	0.009533792	0.2712756	0.0037000268	0.15264885	0.5001717	0.06267001
a17	0.0010077151	0.05019071	0.001662784	0.14830667	0.76467866	0.034153435
a20	0.0018718712	0.042637408	0.0016384806	0.13595995	0.7919236	0.025968773
a8	0.00084499567	0.022570739	0.0024331221	0.1341154	0.8096984	0.030337378
</S>	0.0015871305	0.024843395	0.004418326	0.16043466	0.7544465	0.054269996
