 	non	sono	ancora	vestita	</S>
a31	0.008020923	0.07462813	0.17752971	0.6969915	0.042829752
a23	0.06939941	0.026928736	0.033855736	0.8110182	0.05879787
a31	0.009229616	0.0050410233	0.02029061	0.87941754	0.0860212
a7	0.01869897	0.007538791	0.014063725	0.9366514	0.02304715
a31	0.005413212	0.0063429214	0.055420574	0.7457943	0.18702897
a13	0.009868153	0.008692207	0.118304566	0.81991625	0.04321887
a31	0.0032138058	0.0051606717	0.091159575	0.67431337	0.22615257
a37	0.008295831	0.0075952285	0.15817834	0.7692165	0.056714114
a18	0.006918146	0.0035470389	0.102011	0.6991382	0.18838562
a31	0.012095485	0.004642197	0.0950376	0.74018925	0.14803545
a46	0.08410365	0.034482244	0.23628634	0.5798303	0.06529754
a8	0.018450279	0.0048202225	0.07652659	0.8136101	0.08659285
</S>	0.03285661	0.009664607	0.08856217	0.79906696	0.06984966
