 	e	che	cucino	</S>
a31	0.8097238	0.067522265	0.11674092	0.0060129818
a24	0.64976764	0.064839065	0.2823241	0.003069216
a31	0.36280426	0.019427324	0.6104464	0.0073220422
a11	0.5732196	0.07450154	0.3484098	0.0038690236
a46	0.39829198	0.018323028	0.54776156	0.03562349
a41	0.50818115	0.04717699	0.39106452	0.053577326
a20	0.767463	0.057863925	0.14525034	0.029422656
a36	0.6407149	0.11638299	0.1949041	0.047998056
a31	0.20787606	0.18400507	0.49508014	0.11303874
a46	0.041404434	0.01152492	0.9296987	0.01737198
</S>	0.10625719	0.16166933	0.6639734	0.068100095
