 	il	medico	mi	ha	detto	che	non	devo	mangiare	dolci	perché	mi	fanno	male	a	me	mi	piacciono	e	li	mangio	</S>
a31	0.0011262993	9.7294345e-05	8.193595e-05	3.2975595e-06	2.9117655e-06	6.6470864e-05	5.6417717e-05	2.133531e-05	0.0017348835	0.009863604	0.0014560246	0.0002986503	0.08471698	0.11803713	0.1053118	0.030489143	0.0069199298	0.16316082	0.2001549	0.0106443595	0.24713546	0.01862036
a8	0.0014747818	0.00033103648	0.00036491852	6.8865675e-06	1.2063766e-05	0.002975592	0.0024212196	0.0007803838	0.03560838	0.1887952	0.0130504565	0.0023791976	0.11399894	0.094073035	0.08689077	0.037591644	0.013284116	0.09215291	0.10734425	0.023173954	0.15454903	0.028741263
a31	0.0011154012	0.00015351971	0.00019941766	1.8927464e-06	4.976893e-06	0.005071974	0.0049310424	0.0010019831	0.09086821	0.19102104	0.039129373	0.005484404	0.14344645	0.104842626	0.08078573	0.02935891	0.021994388	0.06892541	0.051025752	0.016173178	0.13184582	0.012618455
a18	0.0026787545	0.00011760005	0.00012527907	2.6560635e-06	3.382609e-06	0.0022880319	0.0021501244	0.00051839155	0.060099244	0.16072612	0.021379564	0.0028497358	0.13409129	0.09540807	0.08355691	0.029832	0.013921657	0.08468678	0.09276326	0.022766916	0.16976394	0.02027023
a31	0.00019603591	2.9996994e-05	3.089612e-05	6.5135004e-07	2.249221e-06	0.00080725277	0.0006771267	9.351904e-05	0.030355066	0.12443428	0.014918783	0.0008526613	0.19716877	0.17995341	0.06770938	0.024678657	0.010474485	0.10446029	0.04134291	0.0040371916	0.19293824	0.0048381095
a28	0.0027300867	3.8201597e-05	4.6968515e-05	1.4267156e-06	1.705576e-06	0.0012960548	0.0012920557	0.00022846246	0.05209545	0.10046843	0.024994014	0.0021209067	0.1547336	0.12321382	0.0739351	0.02099768	0.011593737	0.10715155	0.07824803	0.01625879	0.21583432	0.012719648
a31	6.213923e-05	1.735863e-05	1.8507795e-05	5.3504004e-07	1.8694867e-06	0.00045246523	0.00032767234	4.6770878e-05	0.013679167	0.062433295	0.008152414	0.0003058171	0.18976264	0.21089454	0.054606	0.01868348	0.005846246	0.1431804	0.04473658	0.0023855127	0.24103478	0.0033717614
a46	0.0031197804	3.5183977e-05	5.670416e-05	1.3285196e-06	1.6109251e-06	0.0013034894	0.0012432752	0.00024930254	0.03817643	0.05664949	0.027723027	0.0020178694	0.14190258	0.13998899	0.06831279	0.016743114	0.009432789	0.14496925	0.09436177	0.012683319	0.23004918	0.010978696
a31	4.1770123e-05	1.3276562e-05	1.8924657e-05	5.5393656e-07	2.091115e-06	0.00041517025	0.0002877191	5.2324212e-05	0.009053696	0.034870755	0.0065437136	0.00028892138	0.14837316	0.19376189	0.063129015	0.015191222	0.004136613	0.17927472	0.07268507	0.002283286	0.26531976	0.0042563435
a18	0.003166323	5.6214114e-05	0.00012523976	1.7333455e-06	2.3095463e-06	0.00087428646	0.000792126	0.00022976316	0.021702578	0.03206473	0.01922639	0.0024092575	0.10974416	0.122857295	0.098797254	0.019316511	0.009017512	0.15036441	0.1715294	0.01263506	0.21045846	0.0146290315
a31	1.8974337e-05	1.2955808e-05	2.0191355e-05	4.6994367e-07	2.4923902e-06	0.00016104234	0.000101155165	2.6106938e-05	0.0025303185	0.014900147	0.0017867493	0.00011461048	0.099835575	0.16289304	0.07740489	0.013598746	0.0018564916	0.20532143	0.12009066	0.0010928926	0.29439506	0.0038360043
a37	0.001811022	6.94483e-05	0.00016355659	2.3584187e-06	3.0985548e-06	0.00026905158	0.00022908412	9.249672e-05	0.006508466	0.013939869	0.0064941067	0.0014780672	0.08000056	0.09761252	0.15279764	0.021562044	0.008623797	0.13970259	0.23949546	0.011540269	0.20269598	0.014908546
a31	1.7685677e-05	1.4336332e-05	2.0676021e-05	4.9451074e-07	2.6902894e-06	7.921425e-05	4.8087582e-05	1.5499838e-05	0.0012043464	0.009062501	0.00079932093	6.8934925e-05	0.07547343	0.14043666	0.09247004	0.012317388	0.0011564874	0.2067339	0.14498155	0.0007134483	0.31094173	0.0034415713
a20	0.0011080402	6.949439e-05	0.00014800571	2.745439e-06	3.319454e-06	0.00012763326	0.000108548236	5.292843e-05	0.0027025866	0.007745104	0.0027214906	0.0007768598	0.06596287	0.08575347	0.16972664	0.019323727	0.0075078723	0.13889034	0.26064825	0.009168865	0.2156395	0.011811737
a21	1.3113257e-05	1.3169403e-05	1.5772266e-05	4.4965597e-07	2.449158e-06	3.7904392e-05	2.3309809e-05	9.011604e-06	0.0005518508	0.005886883	0.00034307232	3.2464475e-05	0.05422855	0.115786254	0.06907955	0.008047435	0.00052526616	0.22800025	0.15200312	0.00033425607	0.3627475	0.0023183366
a20	1.6589454e-05	1.2434979e-05	1.4087157e-05	5.396123e-07	2.532712e-06	2.222077e-05	1.454236e-05	7.2025196e-06	0.00031423467	0.0038765834	0.0002083839	2.6963497e-05	0.0382019	0.086675234	0.06998464	0.0049489904	0.00035809734	0.22125109	0.16016923	0.00020699347	0.41207463	0.0016128718
a3	1.2379719e-05	1.1365882e-05	1.0887184e-05	4.4580779e-07	2.024421e-06	1.5283676e-05	1.0217316e-05	5.3459116e-06	0.00022907113	0.0034445976	0.00015205888	1.739923e-05	0.035568047	0.086118564	0.048215367	0.0038153995	0.00021414882	0.23808423	0.14193697	0.00012560343	0.44081876	0.0011918002
