 	dovevo	comprare	il	pane	</S>
a31	0.43908206	0.34259364	0.09990616	0.10989862	0.008519551
a46	0.6786101	0.2011406	0.02485804	0.08855514	0.006836162
a31	0.5036022	0.09748421	0.024213748	0.3231205	0.051579412
a18	0.5695927	0.30737215	0.03294879	0.08496223	0.0051242295
a13	0.4806628	0.06361291	0.035022613	0.28407878	0.13662295
a0	0.57707846	0.1256419	0.06128971	0.14829288	0.08769706
a20	0.6961254	0.15079518	0.042299226	0.070752114	0.04002812
a7	0.8153418	0.10947776	0.023620035	0.029164726	0.022395687
a20	0.79089767	0.13337594	0.031357035	0.023549234	0.020820115
a31	0.7062221	0.17573835	0.055549994	0.031239713	0.031249747
a11	0.07080666	0.13309705	0.22613382	0.43017942	0.13978307
a39	0.30174762	0.3141359	0.16376147	0.1039684	0.11638666
a31	0.17962077	0.33018956	0.28721216	0.12369084	0.07928669
a13	0.026685452	0.05592349	0.12266782	0.5728267	0.22189654
a17	0.10357671	0.34031203	0.27877003	0.17229427	0.105047
a31	0.06553302	0.27890533	0.3464798	0.23926677	0.06981505
a46	0.06704188	0.06415629	0.112359695	0.6219018	0.1345403
a20	0.06241564	0.40068465	0.3582071	0.14479005	0.033902578
a31	0.047669724	0.33728963	0.3937729	0.18927534	0.031992342
</S>	0.06194783	0.05919599	0.10741064	0.70858026	0.06286533
