 	sicuramente	stanno	ancora	svegli	</S>
a17	0.028156066	0.6313972	0.11672971	0.21908559	0.0046315067
a24	0.20860212	0.4314719	0.10660793	0.23652272	0.016795272
a28	0.048302375	0.19458523	0.09260919	0.64593446	0.018568747
a37	0.039750088	0.17542848	0.06615599	0.70347345	0.01519194
a18	0.018436758	0.22656924	0.08333422	0.6451104	0.02654935
a39	0.050014976	0.44313583	0.09636743	0.3841496	0.026332116
a31	0.09608173	0.4994036	0.09328771	0.29060212	0.020624813
a39	0.024140697	0.62905633	0.121407665	0.2186323	0.006762989
a31	0.112146236	0.5766642	0.08923453	0.19779816	0.02415686
a46	0.016610987	0.6163176	0.13167645	0.22736913	0.008025799
a31	0.12912375	0.67222714	0.070668176	0.11074609	0.017234836
a18	0.011665484	0.60731435	0.14009653	0.23254377	0.008379835
a31	0.08699736	0.6700732	0.08956378	0.12432323	0.029042447
a39	0.00930552	0.5933339	0.15787502	0.22909869	0.01038691
a31	0.020964142	0.63648415	0.13107133	0.16288835	0.048592027
a41	0.0070370226	0.5706766	0.18090211	0.22989288	0.011491374
a39	0.0054312004	0.508224	0.18194196	0.22940734	0.07499554
a28	0.012852086	0.65642446	0.1274315	0.15426044	0.0490315
a20	0.02744053	0.6282106	0.12737025	0.15546979	0.06150879
a31	0.04322668	0.6125715	0.12794511	0.15324087	0.06301582
a39	0.007161185	0.523346	0.24424241	0.20508611	0.020164272
a35	0.022340354	0.48063597	0.1633527	0.23778263	0.0958884
a31	0.027814351	0.6241557	0.14488448	0.1551294	0.0480161
a11	0.009705366	0.6261545	0.20223506	0.15286139	0.0090437
a18	0.03142535	0.4473888	0.17889647	0.25470534	0.08758399
a24	0.042931553	0.5496803	0.17388688	0.17816535	0.05533584
a31	0.03056707	0.55821764	0.16766901	0.18128392	0.062262334
a18	0.010874246	0.66720855	0.17787485	0.13490072	0.009141537
a31	0.04504131	0.49863783	0.18433028	0.2050264	0.06696418
a18	0.010468895	0.6863326	0.14589335	0.15326679	0.004038298
a15	0.024941022	0.49188	0.19486028	0.24771237	0.040606383
a8	0.033208687	0.64171225	0.16724984	0.13935706	0.018472183
a39	0.023472277	0.65419066	0.17562014	0.13661201	0.010104906
a31	0.027308218	0.64855283	0.1721471	0.13580126	0.016190635
</S>	0.009959062	0.61500144	0.14916536	0.22181651	0.00405762
