 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a8	0.000809264	0.030707236	0.0781044	0.5980445	0.07929117	0.091957	0.108537056	0.012549401
a31	0.14217089	0.12984551	0.09484492	0.24447022	0.04975719	0.04064414	0.28537598	0.01289118
a37	0.010159433	0.03309192	0.12828979	0.24484733	0.069159575	0.075387895	0.397115	0.041949086
a20	0.0033895632	0.019295994	0.019126046	0.1383441	0.01638845	0.050073408	0.7271873	0.02619515
a29	0.0008763296	0.0068904967	0.015277757	0.37067845	0.0056702956	0.027622417	0.56332076	0.009663492
a14	0.00091580756	0.009748745	0.04879405	0.7004776	0.015560246	0.022023635	0.19704182	0.0054380973
a21	0.006414026	0.045765836	0.08835766	0.61968434	0.023946367	0.028197907	0.17875771	0.008876187
a31	0.010042563	0.053359598	0.1388876	0.62549925	0.03806471	0.030277425	0.0957462	0.008122678
a20	0.0007958325	0.012298573	0.07766483	0.7222695	0.046907954	0.059133895	0.072553456	0.008376047
a6	0.008128185	0.09018218	0.05540837	0.32143065	0.030732041	0.047147747	0.41359344	0.033377446
a31	0.0057975985	0.0650221	0.14308158	0.63964844	0.027724683	0.014395893	0.09981843	0.00451124
a8	0.0004356318	0.014310426	0.060668085	0.7353314	0.038645834	0.03591333	0.11063124	0.004064018
a20	0.0029825529	0.049983457	0.092708856	0.44165772	0.033126563	0.028582698	0.33180127	0.019156918
a31	0.0023645675	0.0411156	0.13239256	0.43468496	0.050363675	0.038081612	0.27458718	0.026409863
a37	0.0011196481	0.020233888	0.043718267	0.71441895	0.030256411	0.029658373	0.15756929	0.0030251567
a31	0.001808603	0.029864242	0.13618249	0.37862542	0.058217596	0.050486602	0.3103363	0.034478746
a24	0.0030639342	0.023137555	0.033551827	0.68461883	0.028449016	0.034336857	0.18921447	0.003627487
a31	0.0026883122	0.024278289	0.10316416	0.30424544	0.064556465	0.07295535	0.3724714	0.055640567
a20	0.0050028893	0.026682792	0.029372972	0.6718988	0.03070646	0.046237446	0.18548934	0.0046093217
a31	0.001451168	0.0075718677	0.043964997	0.32643	0.04748258	0.11900434	0.38544318	0.06865186
a7	0.005156287	0.021292863	0.016127681	0.56743675	0.020816343	0.055075847	0.30934435	0.0047499137
a35	0.0015458097	0.0045364993	0.014893145	0.25531232	0.01874328	0.10012903	0.5639218	0.04091805
</S>	0.0024177623	0.005683793	0.03161921	0.38861707	0.027021458	0.08865928	0.42512727	0.030854132
