 	non	li	aspettiamo	più	</S>
a3	0.4181246	0.004536709	0.3977549	0.13587178	0.043712
a31	0.0071076252	3.0971754e-05	0.36139262	0.6233681	0.008100641
a35	0.004949229	2.9926903e-05	0.7381806	0.24704137	0.009798847
a31	0.0005188182	1.141276e-05	0.36177617	0.6118364	0.02585715
a13	0.018574925	0.00013996213	0.6588722	0.29486224	0.027550574
a31	0.000536664	1.4343727e-05	0.32405704	0.6229432	0.052448798
a15	0.030017782	0.0008903861	0.637475	0.26610488	0.06551202
a31	8.803337e-05	9.408539e-06	0.23466662	0.72993445	0.03530151
a46	0.02994741	0.0023641402	0.4972702	0.38127497	0.089143306
</S>	0.0005259911	0.00020027414	0.12305809	0.85219103	0.024024552
