 	il	lenzuolo	vuole	lavato	</S>
a31	0.153714733	0.32845204	0.05942131	0.45578876	0.00262310975
a7	0.0902800104667	0.265044366667	0.035309155	0.606742233333	0.00262423891667
a31	0.0437663949556	0.323284812222	0.0218045393333	0.609349421111	0.00179486157222
a0	0.0299943473185	0.512838620741	0.0128999578444	0.442897713704	0.00136934692407
a17	0.0511788407728	0.558200760247	0.0094042530148	0.373840091235	0.00737602284136
a13	0.0868929069243	0.421561853416	0.0136998056716	0.463999930412	0.0138455002805
a31	0.0772307089748	0.440841877805	0.0149420852239	0.454636920137	0.0123484234268
a17	0.0565222376583	0.458191112602	0.0252692210746	0.444445916712	0.0155715321423
a8	0.0426608525528	0.361989630867	0.0444110370249	0.523850685571	0.0270877970474
a31	0.0335164261843	0.400366846956	0.0506795360083	0.48201147519	0.0334257026825
a24	0.0342491737281	0.466578048985	0.0482172480028	0.412276825063	0.0386787152275
a46	0.0378332269094	0.434172772995	0.0556399960009	0.411501418354	0.0608526367425
a24	0.0399881186365	0.369362430998	0.062278788667	0.428335492785	0.100035198914
a37	0.0377893932122	0.281988890333	0.048726608889	0.523047320928	0.108447822971
a31	0.0402581964041	0.220494483444	0.0729053322963	0.562071946976	0.104270109324
</S>	0.045728624202	0.221461251722	0.108975696148	0.509684113488	0.114150372162
